#Combination	Num.expected	Unique15	Unique25	Unique35	GC
NsiI-HF_SphI-HF	65000	0.707170237101611	0.813889146496028	0.8692463445547	0.425086040290822
PstI-HF_SphI-HF	81931	0.688368119576173	0.790372938023945	0.843117732379477	0.43916022061995
PstI-HF_BmtI-HF	71683	0.677764382639901	0.778470898284176	0.831796007625883	0.440578064975007
BsrGI-HF_SpeI-HF	68886	0.666452451546	0.763017219974586	0.820263776709948	0.413456709217218
BmtI-HF_Ncol-HF	94940	0.651115039002551	0.761502312634286	0.823393063155555	0.446777781485816
SphI-HF_BsrGI-HF	93160	0.650241149750219	0.765734077103182	0.825001888197149	0.427496589706845
NsiI-HF_BmtI-HF	73976	0.64945792462571	0.753552699508192	0.810463820884167	0.428861642063713
BmtI-HF_BsrGI-HF	82495	0.637959571127798	0.74169090532926	0.79405250155168	0.424998851493723
Ncol-HF_SpeI-HF	50099	0.620981811618906	0.710189103014017	0.768825074698699	0.426647537657975
SphI-HF_HindIII-HF	59087	0.60831619559121	0.723779254550708	0.793607763822085	0.42601528150798
PstI-HF_BamHI-HF	61948	0.6025894637848	0.707967830330939	0.773685405282701	0.468510120939087
BmtI-HF_MfeI-HF	65524	0.596176547241258	0.712328872127428	0.776955035337043	0.420371125498693
BmtI-HF_BamHI-HF	60782	0.588020126452382	0.712047734118971	0.777756628819226	0.443848135523452
NsiI-HF_BamHI-HF	51676	0.584961734198361	0.683889514781866	0.745328464317626	0.444055077853537
SphI-HF_MfeI-HF	77937	0.583867762623069	0.708279030156006	0.783759371330503	0.426108756257657
SphI-HF_BamHI-HF	62513	0.57787201233616	0.686905679773837	0.747309496273452	0.453977275782772
KpnI-HF_BsrGI-HF	54034	0.572874456299491	0.678278002899736	0.743800884791256	0.423880561377642
BmtI-HF_KpnI-HF	71959	0.552442941910867	0.675978789961704	0.747099751707885	0.440304620794701
MfeI-HF_SpeI-HF	64895	0.549199227269895	0.660621923100891	0.739639808063813	0.426112758372971
HindIII-HF_MfeI-HF	92544	0.531544731329839	0.65260096159064	0.731666286805804	0.414611538924264
KpnI-HF_SphI-HF	76238	0.522557135501248	0.631131091482816	0.693818407467554	0.455117799947354
KpnI-HF_MfeI-HF	57117	0.48629883191587	0.603821858347743	0.683382150545224	0.440199914129158
HindIII-HF_Ncol-HF	96312	0.472189176215223	0.579952205038299	0.655464070294075	0.432056733987958
PstI-HF_KpnI-HF	68551	0.437513725605025	0.525299035181471	0.595749820652094	0.455807751555665
