Plate	Sample	Concentration	ng20	Volume	Amount
D	175604	1.18	23.6	8.47457627118644	10
D	SUO100	0.658	13.16	15.1975683890577	10
D	175605	0.798	15.96	12.531328320802	10
D	SUO043	0.768	15.36	13.0208333333333	10
D	175606	0.982	19.64	10.183299389002	10
D	SUO102	0.932	18.64	10.7296137339056	10
D	THU077	0.464	9.28	21.551724137931	10
D	175607	0.408	8.16	24.5098039215686	10
D	WAL022	0.552	11.04	18.1159420289855	10
D	175608	0.782	15.64	12.7877237851662	10
D	SUO105	0.53	10.6	18.8679245283019	10
D	175609	0.574	11.48	17.4216027874564	10
D	175610	1.57	31.4	6.36942675159236	10
D	LAN119	0.588	11.76	17.0068027210884	10
D	175611	1.01	20.2	9.9009900990099	10
D	THU182	0.882	17.64	11.3378684807256	10
D	175612	1.03	20.6	9.70873786407767	10
D	LAN133	0.692	13.84	14.4508670520231	10
D	THU187	0.56	11.2	17.8571428571429	10
D	175613	0.916	18.32	10.9170305676856	10
D	SUO092	0.974	19.48	10.2669404517454	10
D	175614	0.764	15.28	13.0890052356021	10
D	LAN135	0.53	10.6	18.8679245283019	10
D	175615	0.742	14.84	13.4770889487871	10
D	175616	0.64	12.8	15.625	10
D	BRZ111	1.01	20.2	9.9009900990099	10
D	175617	1.13	22.6	8.8495575221239	10
D	THU114	0.768	15.36	13.0208333333333	10
D	175618	0.77	15.4	12.987012987013	10
D	WAL078	0.722	14.44	13.8504155124654	10
D	LAN097	0.402	8.04	24.8756218905473	10
D	175619	0.918	18.36	10.8932461873638	10
D	SUO094	0.634	12.68	15.7728706624606	10
D	THU118	1.96	39.2	5.10204081632653	10
D	BRZ114	1.098	21.96	9.10746812386157	10
D	LAN050	0.4	8	25	10
D	BRZ108	2.26	45.2	4.42477876106195	10
D	THU111	0.784	15.68	12.7551020408163	10
D	WAL045	1.08	21.6	9.25925925925926	10
D	LAN093	0.89	17.8	11.2359550561798	10
D	SUO090	0.958	19.16	10.4384133611691	10
D	BRZ110	1.83	36.6	5.46448087431694	10
D	THU113	1.73	34.6	5.78034682080925	10
