Sample	Merged.Kept	Merged.Lost	Paired.Kept	Paired.Lost
LAN131	4241428	197677	2653705	1632285
LAN098	1529014	60137	703803	522479
THU168	3546393	168844	2668539	1466256
LAN132	3322241	166230	2809423	1473785
LAN119	5001387	201354	2586171	1400364
LAN099	4623433	220766	2917452	1760792
THU182	3823919	161225	2185949	1168435
LAN133	3889337	145021	1916376	1077891
THU183	4315532	203868	2951095	1697792
LAN134	5364733	236374	3073480	1973327
LAN135	6714920	254431	3334549	2298240
THU185	5527069	240851	3477970	2061919
THU187	5263435	184161	2484525	1779142
SUO001	5627891	286322	3588101	2208443
SUO002	3402240	149185	1731432	1141647
BRZ001	4405044	209456	2781966	1671616
SUO003	4360496	188594	2335450	1483105
SUO004	6506118	305344	4046780	2464299
THU010	2663997	124770	1429360	947241
SUO005	4362058	241511	3575397	1884058
BRZ004	5876102	326561	5080666	2632263
THU011	5160390	260425	3502681	2000377
SUO006	1652485	73005	659120	525337
BRZ005	5382947	250847	3487324	1998368
SUO020	5383760	296085	3787154	2145932
BRZ006	7093596	333047	4335548	2678136
BRZ020	5281694	242349	2593866	1779154
THU014	3530725	184148	2556051	1416690
SUO022	2553722	101434	1429739	941700
SUO009	5068845	244730	3030613	1848299
BRZ021	3399148	167557	1660059	1183144
BRZ008	5909417	286921	3795870	2284563
SUO023	3670645	170225	2304830	1402862
BIE030	2492173	103136	1202711	872495
BRZ025	2757345	129497	1508601	1007986
THU019	4753251	266979	3579204	1992150
SUO027	3895372	216412	2856913	1573141
BRZ026	3011774	154620	2053739	1201354
WAL003	6293560	338115	5313085	2725214
BRZ040	2066275	94016	943600	671498
BRZ027	3343229	133118	1574818	1141444
WAL004	7461994	364933	5343511	2931464
BRZ028	4395059	231718	2847376	1675667
BRZ041	3003876	134085	1520449	1061814
SUO043	6736481	297671	3965567	2428669
BIE050	4232572	206360	2856374	1660180
WAL006	8980626	452699	7257049	3800182
WAL007	4288190	258301	3949516	1966625
BRZ044	2420315	123362	1482177	946615
WAL021	1822766	74588	1470522	533314
THU038	8713088	449850	6098995	3515264
BRZ045	1117655	42554	400966	277511
WAL022	5068150	233204	3461304	2054061
WAL009	6099235	345282	4827162	2607594
THU039	5195541	280211	3485819	2062612
SUO060	3118787	145836	1510704	1087102
SUO047	3437048	190664	2934182	1436118
BRZ046	4023111	181822	2256408	1464677
SUO061	2998150	132759	1459262	1041246
SUO048	4779927	220172	2621975	1767759
BRZ047	2974487	132122	1614579	1095998
WAL024	4732302	251654	4075519	1987009
SUO049	4021262	185848	2169524	1459839
LAN005	4424408	222843	2885274	1716590
THU056	4007270	205402	2936580	1665473
WAL040	5991014	284000	3852368	2238694
WAL041	5589572	259105	3477034	2049794
LAN022	4230658	217215	2806657	1635323
WAL042	2450542	131266	2473598	1179600
SUO100	5530958	234917	3071228	1935022
SUO080	4864542	208199	2115595	1579917
BRZ066	1306454	43138	551076	428535
THU073	3224068	130760	2465904	905848
SUO101	4970133	248816	4029478	2159440
SUO081	3189960	116676	1056133	978988
SUO102	6094039	273134	3808741	2250552
SUO082	3939002	151281	1377358	1229982
BRZ068	3372552	155409	1827228	1204682
WAL045	5887340	338605	6496314	2974202
SUO083	905597	33547	247839	258638
SUO104	4794667	224752	3554421	2021401
SUO084	4515956	188712	1786248	1411886
LAN040	7839456	381153	5219507	3013521
BRZ083	6101398	295085	3691150	2208722
THU110	1427714	63133	950588	553114
THU077	4442442	168664	2227858	1586516
SUO105	4824102	196668	2755285	1784595
LAN041	5856830	279522	3496623	2196504
BIE092	5781128	226252	2892889	2061390
THU111	3514837	198122	3270984	1626311
THU091	3395687	166801	1989893	1290127
LAN042	7486597	334840	3370491	2522043
LAN029	584337	26488	204693	211965
THU079	4184600	204338	2674562	1541497
SUO120	3500133	161399	2347735	1380675
SUO087	5114338	235459	3476227	1995965
LAN043	6444143	296920	4135810	2529002
THU113	2787115	121082	1423715	998030
SUO108	1639936	110406	2972711	1125175
SUO088	4925990	222197	3119394	1862638
LAN044	1905966	69166	660224	590643
BRZ107	4167594	185672	2400956	1520581
THU114	5087505	206807	2654138	1881705
SUO122	2733772	127620	1747333	1059151
LAN045	1487811	85911	943182	568939
