       clusters_total filtered_by_depth filtered_by_maxH  filtered_by_maxAlleles filtered_by_maxN reads_consens   nsites nhetero heterozygosity
175600         278992            201730              380                  2781.0                0         73689 27340996   65845        0.00241
175601         250927            177594              320                  2601.0                0         70042 25569406   57216        0.00224
175602         138405             64523              320                  2640.0                0         70597 26248059   56937        0.00217
175603         222275            146542              320                  2668.0                0         72375 26920313   62096        0.00231
175604         208382            130416              373                  2962.0                0         74231 27619032   65791        0.00238
175605         160833             83883              369                  2861.0                0         73354 27933920   65734        0.00235
175606         268250            187913              402                  2973.0                0         76481 28432157   69299        0.00244
175607         173323             97157              340                  2764.0                0         72697 27119518   63180        0.00233
175608         235255            159079              345                  2907.0                0         72521 26724060   62850        0.00235
175609         212698            134680              334                  2993.0                0         74293 27777029   66491        0.00239
175610         226590            148530              353                  2849.0                0         74448 27633790   65031        0.00235
175611         239676            161855              349                  2801.0                0         74248 27647378   64872        0.00235
175612         253860            175366              367                  2815.0                0         74850 27619969   65618        0.00238
175613         352491            273221              384                  2875.0                0         75512 27474618   67378        0.00245
175614         229110            150275              380                  2876.0                0         75165 28007142   67442        0.00241
175615         221403            141998              364                  2940.0                0         75640 28123051   67971        0.00242
175616         308044            228082              406                  2997.0                0         76060 28038993   68856        0.00246
175617         229658            150751              393                  2971.0                0         75108 27987260   67393        0.00241
175618         308482            225874              381                  3104.0                0         78567 28498010   71039        0.00249
175619         251220            171191              394                  3068.0                0         76095 28335544   70473        0.00249
175620         233153            155458              368                  3221.0                0         73680 26813485   64859        0.00242
175621         197193            116219              361                  2922.0                0         77246 28735045   69274        0.00241
BIE002         236316            168295              318                  2591.0                0         64836 23027651   55630        0.00242
BIE004         260244            198266              303                  2451.0                0         58933 19299730   48567        0.00252
BIE005         133621             84925              267                  1836.0                0         46361 12993748   34732        0.00267
BIE006         131722             91392              230                  1460.0                0         38466 10037917   27712        0.00276
BIE007         139534             82202              283                  2141.0                0         54704 17510101   45254        0.00258
BIE008         116935             72678              255                  1540.0                0         42255 11236515   30348        0.00270
BIE028         180227            102602              359                  2980.0                0         73900 27939787   67069        0.00240
BIE030         191191            125921              330                  2414.0                0         62208 20683765   51213        0.00248
BIE044         184897            111143              304                  2828.0                0         70368 27238530   61647        0.00226
BIE045         178870            131175              277                  1642.0                0         45531 12237889   31914        0.00261
BIE048         199440            122461              343                  3009.0                0         73272 27878654   66903        0.00240
BIE049         124168             59773              330                  2412.0                0         61432 21251681   51720        0.00243
BIE050         187339            111979              345                  2968.0                0         71733 26861472   64781        0.00241
BIE092         223682            143107              381                  2868.0                0         76816 27156503   64078        0.00236
BRZ001         281910            205344              350                  2631.0                0         73189 27640795   60633        0.00219
BRZ004         261711            180476              353                  2933.0                0         77581 31248460   71270        0.00228
BRZ005         253623            174514              333                  2803.0                0         75613 29424669   64699        0.00220
BRZ006         390221            306912              391                  2915.0                0         79519 29980902   70883        0.00236
BRZ008         308776            227729              350                  2903.0                0         77383 30037110   68596        0.00228
BRZ011         218036            143216              308                  2518.0                0         71695 27487202   60620        0.00221
BRZ013         195219            121409              310                  2513.0                0         70706 27288851   59843        0.00219
BRZ014         123489             70191              256                  1856.0                0         51010 16589742   39572        0.00239
BRZ015         252458            188271              311                  2108.0                0         61502 20889904   49340        0.00236
BRZ019         201447            144576              269                  1946.0                0         54458 17349766   41569        0.00240
BRZ020         430536            355215              404                  2406.0                0         71997 23768771   60354        0.00254
BRZ021         281407            215633              320                  2190.0                0         62953 20811263   50680        0.00244
BRZ025         216668            149306              309                  2246.0                0         64502 22150833   50092        0.00226
BRZ026         293285            220788              316                  2486.0                0         69339 24824330   57284        0.00231
BRZ027         295456            227113              311                  2251.0                0         65405 21689976   51279        0.00236
BRZ028         358347            283571              310                  2597.0                0         71453 25671071   60778        0.00237
BRZ031         267335            203157              306                  2106.0                0         61447 19911116   44578        0.00224
BRZ033         198846            139884              264                  1885.0                0         56530 17679342   39201        0.00222
BRZ034         224980            159816              279                  2579.0                0         61996 20546777   45723        0.00223
BRZ039         222333            152973              297                  2295.0                0         66435 23123061   51486        0.00223
BRZ040         186350            125921              297                  2310.0                0         57541 18108077   42838        0.00237
BRZ041         210567            142137              315                  2338.0                0         65441 22402112   50632        0.00226
BRZ044         256127            190134              274                  2044.0                0         63403 21869015   46089        0.00211
BRZ045         194568            150991              223                  1191.0                0         41943 10983267   24523        0.00223
BRZ046         413103            339954              327                  2087.0                0         70244 23673929   52651        0.00222
BRZ047         498867            433193              328                  1854.0                0         62942 18855610   44929        0.00238
BRZ052         384522            307680              348                  2629.0                0         73396 25307382   63252        0.00250
BRZ054         479133            403145              655                  2573.0                0         72197 24242078   63269        0.00261
BRZ057         487181            405904              436                  2814.0                0         77386 26138075   69100        0.00264
BRZ066         453754            441169              102                   288.0                0         11835  2040866    7040        0.00345
BRZ068         291083            221265              328                  2292.0                0         66833 22831710   52558        0.00230
BRZ070         418556            347137              350                  2295.0                0         68326 22357976   55558        0.00248
BRZ071         408307            347454              306                  1951.0                0         58200 17474331   43006        0.00246
BRZ083         279541            203208              349                  2615.0                0         72968 26446687   62679        0.00237
BRZ099         222436            149090              314                  2571.0                0         70176 25890890   59719        0.00231
BRZ107         512938            435638              411                  2304.0                0         73700 21929436   58256        0.00266
BRZ108         191773            152042              196                  1126.0                0         38221 10314087   24508        0.00238
BRZ110         339418            297240              239                  1250.0                0         40371 10067736   26110        0.00259
BRZ111         443184            417498              181                   623.0                0         24416  4661919   13181        0.00283
BRZ114         486909            417571              373                  2114.0                0         66213 20357599   50370        0.00247
BRZ115         333531            276528              283                  1860.0                0         54546 16481710   38893        0.00236
LAN005         284121            207409              395                  3473.0                0         72479 27619356   76121        0.00276
LAN017         264805            182146              420                  3497.0                0         78327 30365277   85139        0.00280
LAN018         238542            160721              415                  3349.0                0         73685 28246784   78075        0.00276
LAN019         419121            333436              488                  3653.0                0         80964 30307076   87679        0.00289
LAN022         253878            179444              400                  3097.0                0         70616 26456086   74033        0.00280
LAN029         103291             68317              283                  1320.0                0         33206  7992302   25526        0.00319
LAN033         197678            135945              337                  2568.0                0         58548 18746411   56354        0.00301
LAN038         238256            162288              389                  3300.0                0         71947 26694315   75502        0.00283
LAN039         284724            206439              414                  3497.0                0         74008 28014703   81896        0.00292
LAN040         423562            337948              471                  3712.0                0         80879 31039278   89962        0.00290
LAN041         357266            276838              451                  3336.0                0         76186 28553392   82063        0.00287
LAN042         284787            211179              418                  2690.0                0         70056 23980413   63690        0.00266
LAN043         252256            169829              409                  3599.0                0         77980 29780711   84345        0.00283
LAN044         141743             88818              345                  2083.0                0         50179 13724852   42767        0.00312
LAN045         128850             71659              326                  2418.0                0         54230 16996395   50368        0.00296
LAN047         165736            107157              336                  2452.0                0         55563 17346803   52131        0.00301
LAN048         143113             78304              311                  2663.0                0         61543 20555413   55508        0.00270
LAN049         147213             84746              359                  2614.0                0         59082 17730648   53547        0.00302
LAN050         211780            136785              397                  3010.0                0         71148 24494330   65918        0.00269
LAN052         287518            222392              374                  2849.0                0         61579 20691742   57706        0.00279
LAN059         184789            106106              422                  3230.0                0         74635 28202396   76590        0.00272
LAN060         220392            142441              397                  3367.0                0         73810 27788165   75661        0.00272
LAN061         261764            188121              347                  3123.0                0         69821 25486931   70795        0.00278
LAN062         118055             62455              322                  2231.0                0         52749 15223044   46159        0.00303
LAN063         132545             67278              357                  2450.0                0         62110 20339951   53460        0.00263
LAN064         129655             68857              356                  2370.0                0         57719 17330732   51016        0.00294
LAN065         138840             69920              380                  2939.0                0         65246 22138576   64821        0.00293
LAN067         189062            116746              387                  2960.0                0         68425 22833322   67131        0.00294
LAN071         232444            157467              390                  3390.0                0         70879 26385362   75742        0.00287
LAN072         210052            137573              370                  3111.0                0         68670 24720734   68261        0.00276
LAN074         308895            231968              414                  3199.0                0         72890 26423360   74290        0.00281
LAN087         213812            138670              390                  3254.0                0         71127 26034063   73410        0.00282
LAN088         218869            144881              383                  3145.0                0         70075 25140987   71228        0.00283
LAN089         245962            170247              410                  3212.0                0         71573 23992492   68378        0.00285
LAN090         163191             83675              390                  3522.0                0         75198 28205722   78950        0.00280
LAN092         232924            157356              384                  3196.0                0         71601 26194776   73487        0.00281
LAN093         218614            140194              389                  3484.0                0         74237 29184212   82731        0.00283
LAN095         249067            170823              419                  3441.0                0         74041 28522698   82710        0.00290
LAN097         329651            254466              443                  3105.0                0         71103 23905194   70725        0.00296
LAN098         138018             81166              322                  2466.0                0         53788 16615540   47951        0.00289
LAN099         196873            121780              404                  3269.0                0         71064 26577278   75327        0.00283
LAN102         204240            130590              353                  3310.0                0         69649 25914391   71904        0.00277
LAN103         251048            175630              385                  3370.0                0         71352 27052515   75415        0.00279
LAN111         232754            157792              371                  3130.0                0         71149 27413137   68479        0.00250
LAN113         245539            171834              345                  3343.0                0         68646 25452022   69648        0.00274
LAN114         281394            203933              371                  3428.0                0         73228 27506737   77140        0.00280
LAN115         233690            153074              429                  3452.0                0         76311 29222523   82357        0.00282
LAN117         121718             53087              299                  3056.0                0         65086 24516571   65148        0.00266
LAN119         360181            284068              428                  3066.0                0         72081 24872416   72662        0.00292
LAN130         279881            209358              354                  2584.0                0         67228 23623014   58934        0.00249
LAN131         205812            130448              382                  3305.0                0         71315 26549630   73687        0.00278
LAN132         185021            109508              356                  3461.0                0         71407 27855612   76794        0.00276
LAN133         381950            308909              399                  3004.0                0         69103 23778737   67624        0.00284
LAN134         161045             84643              411                  3332.0                0         72272 26387918   75244        0.00285
LAN135         231699            152577              453                  3294.0                0         74859 26838596   76483        0.00285
SUO001         210792            133023              363                  2499.0                0         74577 28436904   64798        0.00228
SUO002         331944            265530              316                  2131.0                0         63603 20797378   49754        0.00239
SUO003         229584            157680              345                  2244.0                0         68982 24782340   56254        0.00227
SUO004         358372            276846              439                  2829.0                0         77807 29396887   67515        0.00230
SUO005         227244            150749              333                  2613.0                0         73252 29064434   64255        0.00221
SUO006         129437             78115              282                  1612.0                0         49191 14069436   34896        0.00248
SUO009         231664            156171              355                  2586.0                0         72208 27172682   60151        0.00221
SUO011         261854            182353              379                  2728.0                0         76069 30013319   67693        0.00226
SUO012         156331             89452              360                  2601.0                0         63672 22877823   59887        0.00262
SUO016         291354            207858              419                  2904.0                0         79725 30644936   70597        0.00230
SUO019         282761            200140              397                  2974.0                0         78876 31416295   72407        0.00230
SUO020         221035            144832              369                  2603.0                0         72906 28172297   63617        0.00226
SUO022         565344            502366              358                  1992.0                0         60060 18417055   44803        0.00243
SUO023         229423            155306              315                  2468.0                0         70962 26245559   57227        0.00218
SUO027         281989            208419              343                  2492.0                0         70429 26925055   60256        0.00224
SUO030         283785            204912              360                  2833.0                0         75341 29454517   67657        0.00230
SUO031         165520            105553              293                  1768.0                0         57622 18037658   40129        0.00222
SUO034         196159            122652              350                  2355.0                0         70365 24717279   55914        0.00226
SUO043         209318            131838              375                  2568.0                0         74068 27065795   62176        0.00230
SUO047         158195             82782              322                  2499.0                0         72271 28088335   59597        0.00212
SUO048         167473             92715              340                  2429.0                0         71612 26348774   57941        0.00220
SUO049         155359             83785              326                  2266.0                0         68644 24876837   53719        0.00216
SUO056         180801            102779              348                  2548.0                0         74751 28884779   62735        0.00217
SUO058         139595             72133              330                  2049.0                0         64735 22177465   48369        0.00218
SUO059         238375            160645              380                  2539.0                0         74385 27516914   63032        0.00229
SUO060         155914             91187              318                  2067.0                0         62015 20161303   46930        0.00233
SUO061         146963             82437              329                  2016.0                0         61874 20413765   48072        0.00235
SUO076         196657            127772              372                  2236.0                0         65879 21213130   52198        0.00246
SUO077         223864            153065              345                  2265.0                0         67811 23041834   53119        0.00231
SUO080         164749             95360              355                  2120.0                0         66493 22035217   51902        0.00236
SUO081         149462             90644              323                  1737.0                0         56383 16468542   39533        0.00240
SUO082         199609            135414              333                  1950.0                0         61488 18516233   44741        0.00242
SUO083          89975             50942              260                  1137.0                0         37409  8880422   22230        0.00250
SUO084         176602            111352              344                  2134.0                0         62405 19953341   47541        0.00238
SUO087         167467             90307              366                  2499.0                0         73878 26954179   61418        0.00228
SUO088         166715             91985              369                  2545.0                0         71458 26284681   59360        0.00226
SUO090         179956            102328              361                  2627.0                0         74273 28624797   63937        0.00223
SUO092         306871            231834              361                  2522.0                0         71682 25681019   58366        0.00227
SUO094         255097            176682              386                  2696.0                0         74841 27068044   62876        0.00232
SUO095          44971             37665               65                   193.0                0          7004  1244580    3520        0.00283
SUO097         182016            111131              292                  2147.0                0         68114 24437139   50454        0.00206
SUO099         162788             87611              315                  2607.0                0         71938 27854241   60051        0.00216
SUO100         258324            182688              370                  2487.0                0         72323 26067149   59083        0.00227
SUO101         289841            211973              362                  2662.0                0         74464 28878470   65345        0.00226
SUO102         253302            175857              344                  2529.0                0         74102 27213129   62674        0.00230
SUO104         228848            151786              349                  2630.0                0         73727 28462679   65135        0.00229
SUO105         230541            155640              370                  2407.0                0         71730 26014656   58630        0.00225
SUO108         153537             80015              288                  2722.0                0         70299 28001708   61966        0.00221
SUO111         113902             42648              249                  2597.0                0         68251 27782952   54701        0.00197
SUO112         197991            123323              356                  2624.0                0         71294 25617313   60298        0.00235
SUO114         225886            148062              349                  2749.0                0         74370 28673660   65328        0.00228
SUO115         184046            104877              362                  2651.0                0         75770 28945666   65821        0.00227
SUO116         290384            212195              371                  3217.0                0         74184 28046562   75570        0.00269
SUO117         304485            232478              327                  2362.0                0         68934 24715439   56685        0.00229
SUO118         208720            133943              348                  2567.0                0         71524 26991562   60479        0.00224
SUO119         315097            236595              411                  3685.0                0         73956 27742430   79992        0.00288
SUO120         179146            105895              337                  2504.0                0         70081 26312813   57734        0.00219
SUO122         169977            100446              305                  2275.0                0         66664 24208553   53439        0.00221
SUO124         170559             96198              384                  2582.0                0         70975 25311397   59236        0.00234
SUO125         257887            184226              358                  2553.0                0         70373 25227066   59327        0.00235
SUO126         320701            245833              378                  2589.0                0         71475 25467429   60232        0.00237
SUO127         244085            167719              380                  2474.0                0         73074 26458918   61494        0.00232
THU001         160771            116517              252                  1571.0                0         42238 11397716   29864        0.00262
THU002         170634             99231              328                  2770.0                0         68024 25162845   60216        0.00239
THU004         243644            182954              314                  2217.0                0         57869 18658080   45958        0.00246
THU005         200233            127735              332                  2609.0                0         69237 25592150   57851        0.00226
THU007         373771            294841              343                  2850.0                0         75335 29176813   66557        0.00228
THU010         300020            236064              323                  2174.0                0         61182 20479338   48251        0.00236
THU011         212740            134993              325                  2647.0                0         74480 29570858   63800        0.00216
THU014         238312            162770              316                  2800.0                0         72130 28105633   62973        0.00224
THU019         270128            193003              327                  2823.0                0         73671 29010229   66801        0.00230
THU027         420206            350244              313                  2485.0                0         66806 23119384   56611        0.00245
THU038         380219            294406              431                  3346.0                0         81554 32180703   80755        0.00251
THU039         396885            319661              356                  2616.0                0         73874 27727723   65011        0.00234
THU056         320903            244419              364                  2708.0                0         73060 27828594   62101        0.00223
THU060         354975            275436              334                  2704.0                0         76076 29362634   63720        0.00217
