        reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
175600   11915632                 246140                 182295                6011675                4245021                 34658                      1627             11879347
175601    5868898                 124625                  94604                1881163                1568274                 10369                       547              5857982
175602    5052963                 105580                  84680                1625438                1335704                  8880                       384              5043699
175603    9245195                 191679                 138216                2900269                2330787                 16580                       669              9227946
175604   11846970                 246522                 188173                5775202                4191684                 35114                      1512             11810344
175605   11356387                 233039                 178832                5465527                4020690                 33781                      1453             11321153
175606   15131578                 319526                 239663                7173660                5217642                 44445                      1868             15085265
175607    9457699                 195202                 146459                4869929                3511839                 27660                      1317              9428722
175608    9010687                 186412                 143102                4723538                3418841                 26635                      1216              8982836
175609   11130058                 233003                 176985                5731241                4164520                 32782                      1584             11095692
175610   13213699                 276444                 206502                4959498                3740342                 32484                      1151             13180064
175611   11375946                 241308                 176489                4318860                3238274                 27921                       994             11347031
175612   11987210                 250246                 193115                4538551                3424836                 29327                      1233             11956650
175613   12578380                 263300                 202396                6336262                4570778                 36723                      1626             12540031
175614   12431960                 255578                 191176                6279810                4537378                 36156                      1629             12394175
175615   13379825                 275269                 213541                6806587                4850472                 39435                      1673             13338717
175616   14016728                 291535                 228475                7307612                5219600                 41233                      1933             13973562
175617   12629019                 258187                 189688                6656499                4667861                 37225                      1666             12590128
175618   15581329                 328236                 245883                8073589                5770252                 44877                      2107             15534345
175619   14158195                 297393                 220801                7421136                5323205                 42607                      1964             14113624
175620   12078892                 247567                 181368                6324741                4191169                 35865                      1482             12041545
175621   12365026                 249958                 189244                6319849                4451717                 36382                      1624             12327020
BIE002    5260732                 118743                  85849                2768681                1964991                 15522                       798              5244412
BIE004    4320569                 100984                  70524                2236084                1628248                 12901                       741              4306927
BIE005    2278701                  51896                  36538                1191611                 872637                  6588                       298              2271815
BIE006    1348168                  31359                  21301                 726739                 524418                  3940                       209              1344019
BIE007    3689491                  80872                  54713                1980279                1342280                 11238                       484              3677769
BIE008    1839733                  42306                  28572                 977680                 706087                  5421                       264              1834048
BIE028    9795642                 212686                 152036                5044774                3592587                 29564                      1307              9764771
BIE030    4670515                 101224                  71871                2466923                1833912                 13728                       690              4656097
BIE044    5603438                 123950                  85490                1719526                1440748                 10141                       488              5592809
BIE045    1829540                  39739                  27125                 616457                 504971                  3215                       162              1826163
BIE048    9428999                 200412                 140497                4573710                3206714                 27792                      1048              9400159
BIE049    4437840                  96131                  62152                2381222                1566202                 13430                       574              4423836
BIE050    8955486                 190088                 135652                4569850                3124512                 26471                      1087              8927928
BIE092   10961659                 231307                 170507                5869785                4114473                 32517                      1374             10927768
BRZ001    9068082                 200704                 140397                4658571                3298271                 26744                      1343              9039995
BRZ004   13915592                 301709                 214453                7271553                5135448                 42024                      2015             13871553
BRZ005   11119486                 251117                 172632                5537936                3793385                 33463                      1340             11084683
BRZ006   14440327                 329166                 229847                7545789                5501381                 42773                      2323             14395231
BRZ008   12276771                 275207                 197613                6336460                4739294                 36245                      1898             12238628
BRZ011    8352530                 185517                 123612                4424339                3075855                 25275                      1179              8326076
BRZ013    7535981                 164939                 113691                3937393                2688596                 22816                      1079              7512086
BRZ014    2811593                  56086                  40327                1519910                 956272                  8330                       326              2802937
BRZ015    5195597                 117742                  78488                2753606                1921577                 15717                       726              5179154
BRZ019    3481884                  78886                  52685                1855591                1324522                 10571                       514              3470799
BRZ020    9897063                 233558                 164264                4994762                3677462                 28976                      1410              9866677
BRZ021    6409908                 146453                  97661                3328612                2319907                 19477                       868              6389563
BRZ025    5403429                 119413                  83152                2779067                2004370                 16555                       772              5386102
BRZ026    6421487                 142943                  97312                3315156                2562510                 18949                      1003              6401535
BRZ027    6192609                 139390                 102582                3280485                2409291                 18772                       884              6172953
