        hetero_est  error_est
175600    0.004457   0.002353
175601    0.003830   0.001840
175602    0.003615   0.001877
175603    0.004162   0.001895
175604    0.004080   0.002327
175605    0.003907   0.002470
175606    0.004248   0.002327
175607    0.003760   0.002367
175608    0.003740   0.002464
175609    0.004082   0.002483
175610    0.004324   0.001901
175611    0.004028   0.002022
175612    0.004183   0.001930
175613    0.004573   0.002329
175614    0.004229   0.002397
175615    0.004217   0.002366
175616    0.004419   0.002423
175617    0.004223   0.002454
175618    0.004608   0.002301
175619    0.004234   0.002461
175620    0.004434   0.002307
175621    0.004276   0.002459
BIE002    0.004134   0.002326
BIE004    0.004328   0.002228
BIE005    0.004307   0.002217
BIE006    0.004343   0.002204
BIE007    0.004119   0.002460
BIE008    0.004105   0.002164
BIE028    0.004187   0.002299
BIE030    0.004225   0.002283
BIE044    0.004070   0.001926
BIE045    0.004170   0.001548
BIE048    0.004221   0.002312
BIE049    0.004062   0.002462
BIE050    0.004040   0.002475
BIE092    0.004334   0.002160
BRZ001    0.003956   0.002346
BRZ004    0.003837   0.002619
BRZ005    0.004127   0.002264
BRZ006    0.004941   0.002385
BRZ008    0.004346   0.002460
BRZ011    0.003724   0.002506
BRZ013    0.004181   0.002443
BRZ014    0.003526   0.002414
BRZ015    0.004023   0.002532
BRZ019    0.003764   0.002497
BRZ020    0.005323   0.002285
BRZ021    0.003971   0.002296
BRZ025    0.003737   0.002327
BRZ026    0.004185   0.002626
BRZ027    0.004092   0.002277
BRZ028    0.004578   0.002407
BRZ031    0.003844   0.001683
BRZ033    0.003634   0.001644
BRZ034    0.003950   0.001687
BRZ039    0.003811   0.002218
BRZ040    0.004013   0.002237
BRZ041    0.003794   0.002289
BRZ044    0.003636   0.002409
BRZ045    0.003595   0.001618
BRZ046    0.004598   0.002211
BRZ047    0.004938   0.002296
BRZ052    0.005033   0.002273
BRZ054    0.006180   0.002418
BRZ057    0.006960   0.002536
BRZ066    0.007159   0.002277
BRZ068    0.004109   0.002247
BRZ070    0.004884   0.002217
BRZ071    0.004707   0.002144
BRZ083    0.004128   0.002259
BRZ099    0.003967   0.002408
BRZ107    0.008298   0.002166
BRZ108    0.003811   0.002334
BRZ110    0.004791   0.002135
BRZ111    0.005199   0.002046
BRZ114    0.005440   0.002215
BRZ115    0.004209   0.002337
LAN005    0.005115   0.002411
LAN017    0.005242   0.002239
LAN018    0.005215   0.002245
LAN019    0.006139   0.002429
LAN022    0.005049   0.002423
LAN029    0.004678   0.002346
LAN033    0.004781   0.002293
LAN038    0.005160   0.002504
LAN039    0.005578   0.002536
LAN040    0.005783   0.002424
LAN041    0.005709   0.002359
LAN042    0.004418   0.002154
LAN043    0.005634   0.002449
LAN044    0.004835   0.002012
LAN045    0.004891   0.002597
LAN047    0.004649   0.002583
LAN048    0.004772   0.001643
LAN049    0.004817   0.001985
LAN050    0.004749   0.002158
LAN052    0.004802   0.002483
LAN059    0.004997   0.002274
LAN060    0.005076   0.002341
LAN061    0.005010   0.001970
LAN062    0.004625   0.001681
LAN063    0.004499   0.002209
LAN064    0.004493   0.002008
LAN065    0.004568   0.002225
LAN067    0.004889   0.002171
LAN071    0.005036   0.002572
LAN072    0.004911   0.002236
LAN074    0.005226   0.002315
LAN087    0.004864   0.002395
LAN088    0.005009   0.002274
LAN089    0.004838   0.001943
LAN090    0.004728   0.002478
LAN092    0.004901   0.002366
LAN093    0.005025   0.002776
LAN095    0.005356   0.002625
LAN097    0.005148   0.002195
LAN098    0.004656   0.002169
LAN099    0.004848   0.002403
LAN102    0.004944   0.002299
LAN103    0.004951   0.002430
LAN111    0.004691   0.002666
LAN113    0.004667   0.002586
LAN114    0.005125   0.002300
LAN115    0.005005   0.002423
LAN117    0.004185   0.002889
LAN119    0.005504   0.001924
LAN130    0.004853   0.002315
LAN131    0.004762   0.002384
LAN132    0.004731   0.002592
LAN133    0.005352   0.001870
LAN134    0.004951   0.002342
LAN135    0.005038   0.002099
SUO001    0.004284   0.002367
