       clusters_total filtered_by_depth filtered_by_maxH  filtered_by_maxAlleles filtered_by_maxN reads_consens   nsites nhetero heterozygosity
175600         278992            201730                0                  2925.0                0         73924 27398633   69919        0.00255
175601         250927            177594                0                  2728.0                0         70234 25615187   60330        0.00236
175602         138405             64523                0                  2763.0                0         70793 26295883   60227        0.00229
175603         222275            146542                0                  2791.0                0         72570 26969047   65490        0.00243
175604         208382            130416                0                  3090.0                0         74469 27676653   69821        0.00252
175605         160833             83883                0                  2996.0                0         73588 27991253   69710        0.00249
175606         268250            187913                0                  3130.0                0         76722 28489591   73297        0.00257
175607         173323             97157                0                  2880.0                0         72920 27176120   67265        0.00248
175608         235255            159079                0                  3031.0                0         72740 26777740   66603        0.00249
175609         212698            134680                0                  3103.0                0         74515 27831188   70393        0.00253
175610         226590            148530                0                  2970.0                0         74678 27690692   69102        0.00250
175611         239676            161855                0                  2917.0                0         74479 27704531   68839        0.00248
175612         253860            175366                0                  2949.0                0         75080 27675122   69546        0.00251
175613         352491            273221                1                  2989.0                0         75776 27535952   71651        0.00260
175614         229110            150275                0                  3007.0                0         75412 28066199   71562        0.00255
175615         221403            141998                0                  3065.0                0         75873 28180137   72008        0.00256
175616         308044            228082                0                  3120.0                0         76337 28104970   73574        0.00262
175617         229658            150751                0                  3092.0                0         75378 28053301   71954        0.00256
175618         308482            225874                0                  3211.0                0         78840 28560198   75349        0.00264
175619         251220            171191                0                  3199.0                0         76355 28396720   74689        0.00263
175620         233153            155458                0                  3340.0                0         73926 26874581   69087        0.00257
175621         197193            116219                0                  3056.0                0         77473 28790613   73113        0.00254
BIE002         236316            168295                0                  2712.0                0         65029 23074334   58866        0.00255
BIE004         260244            198266                0                  2576.0                0         59105 19339871   51456        0.00266
BIE005         133621             84925                0                  1962.0                0         46502 13025608   36914        0.00283
BIE006         131722             91392                0                  1565.0                0         38590 10066972   29788        0.00296
BIE007         139534             82202                0                  2255.0                0         54871 17549540   48079        0.00274
BIE008         116935             72678                0                  1666.0                0         42384 11265636   32472        0.00288
BIE028         180227            102602                0                  3106.0                0         74130 27994359   70871        0.00253
BIE030         191191            125921                0                  2553.0                0         62397 20730158   54386        0.00262
BIE044         184897            111143                0                  2974.0                0         70526 27278945   64482        0.00236
BIE045         178870            131175                1                  1766.0                0         45682 12271443   34210        0.00279
BIE048         199440            122461                0                  3136.0                0         73486 27930422   70516        0.00252
BIE049         124168             59773                0                  2558.0                0         61616 21297791   54862        0.00258
BIE050         187339            111979                0                  3100.0                0         71945 26914728   68505        0.00255
BIE092         223682            143107                0                  3013.0                0         77050 27210252   67864        0.00249
BRZ001         281910            205344                0                  2737.0                0         73430 27697040   64569        0.00233
BRZ004         261711            180476                0                  3040.0                0         77826 31308776   75626        0.00242
BRZ005         253623            174514                0                  2913.0                0         75834 29480347   68534        0.00232
BRZ006         390221            306912                0                  3023.0                0         79795 30048047   75567        0.00251
BRZ008         308776            227729                0                  3017.0                0         77618 30093312   72526        0.00241
BRZ011         218036            143216                0                  2626.0                0         71893 27534854   63887        0.00232
BRZ013         195219            121409                0                  2613.0                0         70915 27338663   63324        0.00232
BRZ014         123489             70191                0                  1950.0                0         51170 16628713   42301        0.00254
BRZ015         252458            188271                0                  2231.0                0         61690 20935665   52485        0.00251
BRZ019         201447            144576                0                  2057.0                0         54614 17386335   44175        0.00254
