  loading Assembly: assem2
  from saved path: ~/cophyhopa/results/2022-04-22/assem2.json

Summary stats of Assembly assem2
------------------------------------------------
        state  reads_raw  ...  error_est  reads_consens
175600      5   11915632  ...   0.002353          73924
175601      5    5868898  ...   0.001840          70234
175602      5    5052963  ...   0.001877          70793
175603      5    9245195  ...   0.001895          72570
175604      5   11846970  ...   0.002327          74469
175605      5   11356387  ...   0.002470          73588
175606      5   15131578  ...   0.002327          76722
175607      5    9457699  ...   0.002367          72920
175608      5    9010687  ...   0.002464          72740
175609      5   11130058  ...   0.002483          74515
175610      5   13213699  ...   0.001901          74678
175611      5   11375946  ...   0.002022          74479
175612      5   11987210  ...   0.001930          75080
175613      5   12578380  ...   0.002329          75776
175614      5   12431960  ...   0.002397          75412
175615      5   13379825  ...   0.002366          75873
175616      5   14016728  ...   0.002423          76337
175617      5   12629019  ...   0.002454          75378
175618      5   15581329  ...   0.002301          78840
175619      5   14158195  ...   0.002461          76355
175620      5   12078892  ...   0.002307          73926
175621      5   12365026  ...   0.002459          77473
BIE002      5    5260732  ...   0.002326          65029
BIE004      5    4320569  ...   0.002228          59105
BIE005      5    2278701  ...   0.002217          46502
BIE006      5    1348168  ...   0.002204          38590
BIE007      5    3689491  ...   0.002460          54871
BIE008      5    1839733  ...   0.002164          42384
BIE028      5    9795642  ...   0.002299          74130
BIE030      5    4670515  ...   0.002283          62397
BIE044      5    5603438  ...   0.001926          70526
BIE045      5    1829540  ...   0.001548          45682
BIE048      5    9428999  ...   0.002312          73486
BIE049      5    4437840  ...   0.002462          61616
BIE050      5    8955486  ...   0.002475          71945
BIE092      5   10961659  ...   0.002160          77050
BRZ001      5    9068082  ...   0.002346          73430
BRZ004      5   13915592  ...   0.002619          77826
BRZ005      5   11119486  ...   0.002264          75834
BRZ006      5   14440327  ...   0.002385          79795
BRZ008      5   12276771  ...   0.002460          77618
BRZ011      5    8352530  ...   0.002506          71893
BRZ013      5    7535981  ...   0.002443          70915
BRZ014      5    2811593  ...   0.002414          51170
BRZ015      5    5195597  ...   0.002532          61690
BRZ019      5    3481884  ...   0.002497          54614
BRZ020      5    9897063  ...   0.002285          72289
BRZ021      5    6409908  ...   0.002296          63166
BRZ025      5    5403429  ...   0.002327          64692
BRZ026      5    6421487  ...   0.002626          69537
BRZ027      5    6192609  ...   0.002277          65595
BRZ028      5    9149820  ...   0.002407          71653
BRZ031      5    3950646  ...   0.001683          61630
BRZ033      5    2486551  ...   0.001644          56683
BRZ034      5    3222388  ...   0.001687          62157
BRZ039      5    5962851  ...   0.002218          66629
BRZ040      5    3775389  ...   0.002237          57721
BRZ041      5    5720224  ...   0.002289          65636
BRZ044      5    4972469  ...   0.002409          63592
BRZ045      5    1838686  ...   0.001618          42090
BRZ046      5    7926018  ...   0.002211          70473
BRZ047      5    5817186  ...   0.002296          63171
BRZ052      5   10495149  ...   0.002273          73641
BRZ054      5    9137652  ...   0.002418          72684
BRZ057      5   11704655  ...   0.002536          77685
BRZ066      5    2329203  ...   0.002277          11910
BRZ068      5    6559871  ...   0.002247          67037
BRZ070      5    8129703  ...   0.002217          68557
BRZ071      5    4630268  ...   0.002144          58392
BRZ083      5   12296355  ...   0.002259          73207
BRZ099      5    8440536  ...   0.002408          70383
BRZ107      5    8274803  ...   0.002166          73972
