Fish_code	Lake	Catchment	Region	Date	Fishec_nr	Furka_length	Weight_g	Sex	Age	Tb0_1_2	Ripe	Date_dissect	Condition	GR_morfo	MOL_MORPH_CONSENSUS_ID	Sci_name_CONSENSUS_ID	CN	d13C	d15N
WAL001	Walen	Limmat	Alpine	28.11.17	175900	398	804	M	4	NA	NA	24.01.18	frozen	short	C.duplex	C.duplex	2.95	-30.58	8.94
WAL002	Walen	Limmat	Alpine	28.11.17	175901	362	571	M	4	NA	NA	25.01.18	frozen	short	C.duplex	C.duplex	3.11	-30.62	7.65
WAL003	Walen	Limmat	Alpine	28.11.17	175902	379	667	M	4	NA	NA	25.01.18	frozen	short	C.duplex	C.duplex	2.97	-32.03	8.43
WAL004	Walen	Limmat	Alpine	28.11.17	175903	415	855	M	4	NA	NA	24.01.18	frozen	short	C.duplex	C.duplex	3.05	-30.94	8.89
WAL005	Walen	Limmat	Alpine	28.11.17	175904	334	446	M	5	NA	NA	18.01.18	frozen	short	C.duplex	C.duplex	3.03	-32.78	7.18
WAL006	Walen	Limmat	Alpine	28.11.17	175905	354	474	NA	4	NA	NA	23.01.18	frozen	short	C.duplex	C.duplex	3.07	-31.06	8.01
WAL007	Walen	Limmat	Alpine	28.11.17	175906	380	626	F	4	NA	NA	24.10.18	frozen	short	C.duplex	C.duplex	3.09	-31.39	7.94
WAL008	Walen	Limmat	Alpine	28.11.17	175907	383	696	M	3	NA	NA	17.01.18	frozen	short	C.duplex	C.duplex	3.08	-31.41	8.3
WAL009	Walen	Limmat	Alpine	28.11.17	175908	393	662	M	3	NA	NA	17.01.18	frozen	short	C.duplex	C.duplex	3.1	-31.46	8.78
WAL010	Walen	Limmat	Alpine	28.11.17	175909	410	853	M	5	NA	NA	23.01.18	frozen	NA	C.duplex	C.duplex	3.05	-31.35	8.38
WAL011	Walen	Limmat	Alpine	28.11.17	175910	372	583	M	3	NA	NA	22.01.18	frozen	short	C.duplex	C.duplex	3.09	-31.24	8.07
WAL012	Walen	Limmat	Alpine	28.11.17	175911	322	375	M	4	NA	NA	18.01.18	frozen	short	C.duplex	C.duplex	3.02	-30.88	8.11
WAL013	Walen	Limmat	Alpine	28.11.17	175912	377	649	M	4	NA	NA	17.01.18	frozen	short	C.duplex	C.duplex	2.95	-30.15	7.82
WAL014	Walen	Limmat	Alpine	28.11.17	175913	410	903	F	3	NA	NA	22.01.18	frozen	short	C.duplex	C.duplex	3.1	-32.05	8.56
WAL015	Walen	Limmat	Alpine	28.11.17	175914	380	596	M	4	NA	NA	24.01.18	frozen	short	C.duplex	C.duplex	2.97	-31.02	9.07
WAL016	Walen	Limmat	Alpine	28.11.17	175915	323	399	M	4	NA	NA	18.01.18	frozen	short	C.duplex	C.duplex	3.05	-31.3	7.61
WAL017	Walen	Limmat	Alpine	28.11.17	175916	424	930	M	6	NA	NA	22.01.18	frozen	short	C.duplex	C.duplex	2.93	-30.99	8
WAL018	Walen	Limmat	Alpine	28.11.17	175917	340	448	M	2	NA	NA	18.01.18	frozen	short	C.duplex	C.duplex	3	-32.07	7.49
WAL019	Walen	Limmat	Alpine	28.11.17	175918	329	396	M	4	NA	NA	23.01.18	frozen	short	C.duplex	C.duplex	2.99	-30.56	8.04
WAL020	Walen	Limmat	Alpine	28.11.17	175919	331	461	M	3	NA	NA	18.01.18	frozen	short	C.duplex	C.duplex	2.98	-31.24	8.19
WAL021	Walen	Limmat	Alpine	28.11.17	175920	197	91	M	3	2	5	30.11.17	fresh	long_numerous	C.heglingus	C.heglingus	2.88	-29.68	6.13
WAL022	Walen	Limmat	Alpine	28.11.17	175921	203	95	F	3	0	4	30.01.18	frozen	long_numerous	C.heglingus	C.heglingus	2.91	-30.44	6.47
WAL023	Walen	Limmat	Alpine	28.11.17	175922	195	72	M	2	2	5	31.01.18	frozen	long_numerous	C.heglingus	C.heglingus	3.03	-31.51	8.76
WAL024	Walen	Limmat	Alpine	28.11.17	175923	200	82	F	4	0	4	30.11.17	fresh	long_numerous	C.heglingus	C.heglingus	2.94	-32.69	7.28
WAL025	Walen	Limmat	Alpine	28.11.17	175924	195	84	M	3	2	5	19.01.18	frozen	long_numerous	C.heglingus	C.heglingus	3.04	-30.65	8.27
WAL026	Walen	Limmat	Alpine	28.11.17	175925	184	65	M	2	2	4	30.01.18	frozen	long_numerous	C.heglingus	C.heglingus	2.95	-30.64	9.77
WAL027	Walen	Limmat	Alpine	28.11.17	175926	179	53	F	3	1	4	29.01.18	frozen	long_numerous	C.heglingus	C.heglingus	3.04	-30.97	8.51
WAL028	Walen	Limmat	Alpine	28.11.17	175927	193	61	M	3	2	4	30.11.17	fresh	long_numerous	C.heglingus	C.heglingus	3.08	-30.92	8.05
WAL029	Walen	Limmat	Alpine	28.11.17	175928	177	67	M	3	2	5	30.01.18	frozen	long_numerous	C.heglingus	C.heglingus	2.98	-30.46	8.74
WAL030	Walen	Limmat	Alpine	28.11.17	175929	172	55	M	3	2	6	30.01.18	frozen	long_numerous	C.heglingus	C.heglingus	2.98	-30.51	9.27
WAL031	Walen	Limmat	Alpine	28.11.17	175930	185	69	F	3	1	4	30.01.18	frozen	long_numerous	C.heglingus	C.heglingus	3.04	-31.15	7.42
WAL032	Walen	Limmat	Alpine	28.11.17	175931	194	70	M	2	2	5	29.01.18	frozen	long_numerous	C.heglingus	C.heglingus	3.03	-29.83	7.06
WAL033	Walen	Limmat	Alpine	28.11.17	175932	198	89	F	2	1	4	30.11.17	fresh	long_numerous	C.heglingus	C.heglingus	3.05	-33.69	7.1
WAL034	Walen	Limmat	Alpine	28.11.17	175933	175	57	F	2	2	6	01.02.18	frozen	long_numerous	C.heglingus	C.heglingus	3.03	-30.75	8.53
WAL035	Walen	Limmat	Alpine	28.11.17	175934	174	66	F	3	1	6	30.11.17	fresh	long_numerous	C.heglingus	C.heglingus	3.1	-30.94	7.98
