"Sample" "ID"
"175600" "ZUR17_zuerichensis"
"175601" "ZUR17_zuerichensis"
"175602" "ZUR13_heglingus"
"175603" "ZUR17_zuerichensis"
"175604" "ZUR17_zuerichensis"
"175605" "ZUR17_zuerichensis"
"175606" "ZUR17_zuerichensis"
"175607" "ZUR17_zuerichensis"
"175608" "ZUR17_zuerichensis"
"175609" "ZUR13_heglingus"
"175610" "ZUR17_zuerichensis"
"175611" "ZUR17_zuerichensis"
"175612" "ZUR17_zuerichensis"
"175613" "ZUR17_zuerichensis"
"175614" "ZUR17_zuerichensis"
"175615" "ZUR13_heglingus"
"175616" "ZUR13_heglingus"
"175617" "ZUR17_zuerichensis"
"175618" "ZUR13_heglingus"
"175619" "ZUR17_zuerichensis"
"175620" "ZUR17_zuerichensis"
"175621" "ZUR17_zuerichensis"
"BIE002" "BIE07_Bondelle/confusus"
"BIE004" "BIE07_Bondelle/confusus"
"BIE005" "BIE07_Bondelle/confusus"
"BIE006" "BIE07_Bondelle/confusus"
"BIE007" "BIE07_Bondelle/confusus"
"BIE008" "BIE07_Bondelle/confusus"
"BIE028" "BIE07_Bondelle/confusus"
"BIE030" "BIE07_Bondelle/confusus"
"BIE044" "BIE07_Bondelle/confusus"
"BIE045" "BIE07_Bondelle/confusus"
"BIE048" "BIE07_Bondelle/confusus"
"BIE049" "BIE07_Bondelle/confusus"
"BIE050" "BIE07_Bondelle/confusus"
"BIE092" "BIE07_Bondelle/confusus"
"BRZ001" "BRI04_Balchen2/brienzii"
"BRZ004" "BRI05_Balchen2/Felchen/brienzii/fatioi"
"BRZ005" "BRI12_Felchen/fatioi"
"BRZ006" "BRI12_Felchen/fatioi"
"BRZ008" "BRI12_Felchen/fatioi"
"BRZ011" "BRI04_Balchen2/brienzii"
"BRZ013" "BRI05_Balchen2/Felchen/brienzii/fatioi"
"BRZ014" "BRI08_Brienzlig/albellus"
"BRZ015" "BRI08_Brienzlig/albellus"
"BRZ019" "BRI08_Brienzlig/albellus"
"BRZ020" "BRI08_Brienzlig/albellus"
"BRZ021" "BRI05_Balchen2/Felchen/brienzii/fatioi"
"BRZ025" "BRI08_Brienzlig/albellus"
"BRZ026" "BRI08_Brienzlig/albellus"
"BRZ027" "BRI08_Brienzlig/albellus"
"BRZ028" "BRI08_Brienzlig/albellus"
"BRZ031" "BRI08_Brienzlig/albellus"
"BRZ033" "BRI08_Brienzlig/albellus"
"BRZ034" "BRI08_Brienzlig/albellus"
"BRZ039" "BRI08_Brienzlig/albellus"
"BRZ040" "BRI08_Brienzlig/albellus"
"BRZ041" "BRI08_Brienzlig/albellus"
"BRZ044" "BRI02_Balchen1/alpinus"
"BRZ045" "BRI02_Balchen1/alpinus"
"BRZ046" "BRI02_Balchen1/alpinus"
"BRZ047" "BRI02_Balchen1/alpinus"
"BRZ052" "BRI12_Felchen/fatioi"
"BRZ054" "BRI12_Felchen/fatioi"
"BRZ057" "BRI04_Balchen2/brienzii"
"BRZ066" "BRI08_Brienzlig/albellus"
"BRZ068" "BRI08_Brienzlig/albellus"
"BRZ070" "BRI08_Brienzlig/albellus"
"BRZ071" "BRI08_Brienzlig/albellus"
"BRZ083" "BRI12_Felchen/fatioi"
"BRZ099" "BRI12_Felchen/fatioi"
"BRZ107" "BRI12_Felchen/fatioi"
"BRZ108" "BRI12_Felchen/fatioi"
"BRZ110" "BRI12_Felchen/fatioi"
"BRZ111" "BRI12_Felchen/fatioi"
"BRZ114" "BRI05_Balchen2/Felchen/brienzii/fatioi"
"BRZ115" "BRI05_Balchen2/Felchen/brienzii/fatioi"
"THU001" "THU01_Albock/acrinasus"
"THU002" "THU01_Albock/acrinasus"
"THU004" "THU01_Albock/acrinasus"
"THU005" "THU06_Balchen2/steinmanni"
"THU007" "THU08_Brienzlig/albellus"
"THU010" "THU08_Brienzlig/albellus"
"THU011" "THU08_Brienzlig/albellus"
"THU014" "THU03_Balchen1/Balchen2/alpinus/steinmanni"
"THU019" "THU11_Felchen/Brienzlig/fatioi/albellus"
"THU027" "THU08_Brienzlig/albellus"
"THU038" "THU01_Albock/acrinasus"
"THU039" "THU06_Balchen2/steinmanni"
"THU056" "THU14_Kropfer/profundus"
"THU060" "THU14_Kropfer/profundus"
"THU061" "THU14_Kropfer/profundus"
"THU066" "THU08_Brienzlig/albellus"
"THU067" "THU01_Albock/acrinasus"
"THU073" "THU06_Balchen2/steinmanni"
"THU077" "THU08_Brienzlig/albellus"
"THU079" "THU08_Brienzlig/albellus"
"THU080" "THU08_Brienzlig/albellus"
"THU081" "THU12_Felchen/fatioi"
"THU082" "THU08_Brienzlig/albellus"
"THU083" "THU08_Brienzlig/albellus"
"THU084" "THU08_Brienzlig/albellus"
"THU086" "THU06_Balchen2/steinmanni"
"THU087" "THU08_Brienzlig/albellus"
"THU091" "THU14_Kropfer/profundus"
"THU097" "THU01_Albock/acrinasus"
"THU099" "THU14_Kropfer/profundus"
"THU104" "THU14_Kropfer/profundus"
"THU106" "THU14_Kropfer/profundus"
