# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
WAL10	106	12.87405	0.16842	0.00311	0.92994	0.01644	0.00097	0.11650	0.04177	0.00155	0.88350	0.04177	0.00155	0.09743	0.02621	0.00123	0.90257	0.02621	0.00123	0.10142	0.02841	0.00128	-0.03613	0.01580	0.00311
WAL13	46	10.98636	0.01781	0.00101	0.93284	0.01570	0.00095	0.09768	0.03032	0.00132	0.90232	0.03032	0.00132	0.09390	0.02529	0.00120	0.90610	0.02529	0.00120	0.09838	0.02776	0.00126	0.00146	0.01979	0.00101
17517	60	16.98086	0.02198	0.00112	0.92584	0.01669	0.00098	0.10711	0.03067	0.00133	0.89289	0.03067	0.00133	0.10394	0.02660	0.00123	0.89606	0.02660	0.00123	0.10710	0.02824	0.00127	0.00079	0.01671	0.00112
17513	3	4.99501	0.00530	0.00055	0.92971	0.01710	0.00099	0.10741	0.03996	0.00151	0.89259	0.03996	0.00151	0.09650	0.02704	0.00124	0.90350	0.02704	0.00124	0.10724	0.03339	0.00138	-0.00067	0.02904	0.00055
ZUR10	2	1.99662	0.00337	0.00044	0.93408	0.01984	0.00107	0.11185	0.06422	0.00192	0.88815	0.06422	0.00192	0.08349	0.02819	0.00127	0.91651	0.02819	0.00127	0.11145	0.05031	0.00170	-0.00060	0.03030	0.00044
BIE07	150	13.93158	0.07509	0.00207	0.91855	0.01710	0.00099	0.11698	0.03108	0.00133	0.88302	0.03108	0.00133	0.11544	0.02734	0.00125	0.88456	0.02734	0.00125	0.11974	0.02942	0.00130	0.00871	0.02320	0.00207
THU01	63	10.66279	0.26168	0.00387	0.92062	0.01758	0.00100	0.11716	0.03530	0.00142	0.88284	0.03530	0.00142	0.11101	0.02799	0.00127	0.88899	0.02799	0.00127	0.11651	0.03084	0.00133	-0.00061	0.02399	0.00387
THU06	8	9.98545	0.01583	0.00095	0.92378	0.01710	0.00099	0.10274	0.02882	0.00129	0.89726	0.02882	0.00129	0.10664	0.02719	0.00125	0.89336	0.02719	0.00125	0.11226	0.03013	0.00131	0.02402	0.03100	0.00095
THU08	12	11.42774	0.26004	0.00386	0.93048	0.01609	0.00096	0.09978	0.03015	0.00131	0.90022	0.03015	0.00131	0.09720	0.02567	0.00121	0.90280	0.02567	0.00121	0.10166	0.02809	0.00127	0.00534	0.02100	0.00386
THU03	1	1.00000	0.00000	0.00000	0.94798	0.02330	0.00116	0.10403	0.09322	0.00231	0.89597	0.09322	0.00231	0.05202	0.02330	0.00116	0.94798	0.02330	0.00116	0.10403	0.09322	0.00231	0.00000	0.00000	0.00000
THU11	0	1.00000	0.00000	0.00000	0.94887	0.02295	0.00115	0.10227	0.09181	0.00229	0.89773	0.09181	0.00229	0.05113	0.02295	0.00115	0.94887	0.02295	0.00115	0.10227	0.09181	0.00229	0.00000	0.00000	0.00000
THU14	136	21.85979	0.14107	0.00284	0.93692	0.01490	0.00092	0.09063	0.02695	0.00124	0.90937	0.02695	0.00124	0.08840	0.02411	0.00118	0.91160	0.02411	0.00118	0.09048	0.02526	0.00120	-0.00020	0.01160	0.00284
THU12	0	1.99748	0.00251	0.00038	0.93971	0.01814	0.00102	0.10168	0.05784	0.00182	0.89832	0.05784	0.00182	0.07705	0.02631	0.00123	0.92295	0.02631	0.00123	0.10279	0.04685	0.00164	0.00166	0.02753	0.00038
THU02	0	1.00000	0.00000	0.00000	0.94984	0.02256	0.00114	0.10032	0.09026	0.00228	0.89968	0.09026	0.00228	0.05016	0.02256	0.00114	0.94984	0.02256	0.00114	0.10032	0.09026	0.00228	0.00000	0.00000	0.00000
BRZ04	2	2.99519	0.00479	0.00052	0.93955	0.01677	0.00098	0.09580	0.04582	0.00162	0.90420	0.04582	0.00162	0.08005	0.02547	0.00121	0.91995	0.02547	0.00121	0.09613	0.03673	0.00145	0.00065	0.02993	0.00052
BRZ05	4	4.98734	0.01285	0.00086	0.93282	0.01660	0.00098	0.09771	0.03632	0.00144	0.90229	0.03632	0.00144	0.09213	0.02640	0.00123	0.90787	0.02640	0.00123	0.10241	0.03262	0.00137	0.01029	0.03305	0.00086
BRZ12	18	10.39566	0.46353	0.00515	0.93339	0.01586	0.00095	0.09641	0.03071	0.00133	0.90359	0.03071	0.00133	0.09263	0.02547	0.00121	0.90737	0.02547	0.00121	0.09735	0.02813	0.00127	0.00210	0.01994	0.00515
BRZ08	37	17.14909	0.27139	0.00394	0.93308	0.01559	0.00095	0.09753	0.02925	0.00129	0.90247	0.02925	0.00129	0.09371	0.02496	0.00120	0.90629	0.02496	0.00120	0.09654	0.02649	0.00123	-0.00257	0.01464	0.00394
BRZ02	4	3.97800	0.02301	0.00115	0.94811	0.01428	0.00090	0.08058	0.03620	0.00144	0.91942	0.03620	0.00144	0.06983	0.02238	0.00113	0.93017	0.02238	0.00113	0.07991	0.02931	0.00130	-0.00138	0.02416	0.00115
LAN16	126	11.89107	0.10635	0.00247	0.88962	0.02020	0.00108	0.15758	0.03646	0.00145	0.84242	0.03646	0.00145	0.15600	0.03115	0.00134	0.84400	0.03115	0.00134	0.16286	0.03395	0.00139	0.01484	0.03608	0.00247
LAN15	211	21.93365	0.08889	0.00226	0.88684	0.02006	0.00107	0.15512	0.03173	0.00135	0.84488	0.03173	0.00135	0.16058	0.03097	0.00133	0.83942	0.03097	0.00133	0.16433	0.03244	0.00136	0.02816	0.03039	0.00226
LAN09	106	20.95175	0.06586	0.00194	0.88691	0.02055	0.00109	0.16162	0.03550	0.00143	0.83838	0.03550	0.00143	0.15950	0.03155	0.00134	0.84050	0.03155	0.00134	0.16340	0.03311	0.00138	0.00591	0.02477	0.00194
SUO15	42	27.95410	0.05915	0.00184	0.92383	0.01864	0.00103	0.10286	0.03034	0.00132	0.89714	0.03034	0.00132	0.10345	0.02899	0.00129	0.89655	0.02899	0.00129	0.10534	0.03005	0.00131	0.00772	0.01272	0.00184
SUO16	29	13.98218	0.02770	0.00126	0.93363	0.01673	0.00098	0.09444	0.03181	0.00135	0.90556	0.03181	0.00135	0.09048	0.02660	0.00123	0.90952	0.02660	0.00123	0.09384	0.02861	0.00128	-0.00104	0.01661	0.00126
SUO09	17	18.91141	0.08934	0.00226	0.92245	0.01879	0.00104	0.10189	0.02995	0.00131	0.89811	0.02995	0.00131	0.10549	0.02911	0.00129	0.89451	0.02911	0.00129	0.10836	0.03071	0.00133	0.02233	0.02417	0.00226
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
WAL10	106	17452	17452	5943	34.05340	12.87405	0.16842	0.00311	0.92994	0.01644	0.00097	0.11650	0.04177	0.00155	0.88350	0.04177	0.00155	0.09743	0.02621	0.00123	0.90257	0.02621	0.00123	0.10142	0.02841	0.00128	-0.03613	0.01580	0.00311
WAL13	46	17452	17452	5739	32.88448	10.98636	0.01781	0.00101	0.93284	0.01570	0.00095	0.09768	0.03032	0.00132	0.90232	0.03032	0.00132	0.09390	0.02529	0.00120	0.90610	0.02529	0.00120	0.09838	0.02776	0.00126	0.00146	0.01979	0.00101
17517	60	17452	17452	6826	39.11300	16.98086	0.02198	0.00112	0.92584	0.01669	0.00098	0.10711	0.03067	0.00133	0.89289	0.03067	0.00133	0.10394	0.02660	0.00123	0.89606	0.02660	0.00123	0.10710	0.02824	0.00127	0.00079	0.01671	0.00112
17513	3	17452	17452	5098	29.21155	4.99501	0.00530	0.00055	0.92971	0.01710	0.00099	0.10741	0.03996	0.00151	0.89259	0.03996	0.00151	0.09650	0.02704	0.00124	0.90350	0.02704	0.00124	0.10724	0.03339	0.00138	-0.00067	0.02904	0.00055
ZUR10	2	17452	17452	3527	20.20972	1.99662	0.00337	0.00044	0.93408	0.01984	0.00107	0.11185	0.06422	0.00192	0.88815	0.06422	0.00192	0.08349	0.02819	0.00127	0.91651	0.02819	0.00127	0.11145	0.05031	0.00170	-0.00060	0.03030	0.00044
BIE07	150	17452	17452	7691	44.06945	13.93158	0.07509	0.00207	0.91855	0.01710	0.00099	0.11698	0.03108	0.00133	0.88302	0.03108	0.00133	0.11544	0.02734	0.00125	0.88456	0.02734	0.00125	0.11974	0.02942	0.00130	0.00871	0.02320	0.00207
THU01	63	17452	17452	6828	39.12446	10.66279	0.26168	0.00387	0.92062	0.01758	0.00100	0.11716	0.03530	0.00142	0.88284	0.03530	0.00142	0.11101	0.02799	0.00127	0.88899	0.02799	0.00127	0.11651	0.03084	0.00133	-0.00061	0.02399	0.00387
THU06	8	17452	17452	6559	37.58309	9.98545	0.01583	0.00095	0.92378	0.01710	0.00099	0.10274	0.02882	0.00129	0.89726	0.02882	0.00129	0.10664	0.02719	0.00125	0.89336	0.02719	0.00125	0.11226	0.03013	0.00131	0.02402	0.03100	0.00095
THU08	12	17452	17452	6101	34.95874	11.42774	0.26004	0.00386	0.93048	0.01609	0.00096	0.09978	0.03015	0.00131	0.90022	0.03015	0.00131	0.09720	0.02567	0.00121	0.90280	0.02567	0.00121	0.10166	0.02809	0.00127	0.00534	0.02100	0.00386
THU03	1	17427	17427	1813	10.40340	1.00000	0.00000	0.00000	0.94798	0.02330	0.00116	0.10403	0.09322	0.00231	0.89597	0.09322	0.00231	0.05202	0.02330	0.00116	0.94798	0.02330	0.00116	0.10403	0.09322	0.00231	0.00000	0.00000	0.00000
THU11	0	17435	17435	1783	10.22656	1.00000	0.00000	0.00000	0.94887	0.02295	0.00115	0.10227	0.09181	0.00229	0.89773	0.09181	0.00229	0.05113	0.02295	0.00115	0.94887	0.02295	0.00115	0.10227	0.09181	0.00229	0.00000	0.00000	0.00000
THU14	136	17452	17452	5961	34.15654	21.85979	0.14107	0.00284	0.93692	0.01490	0.00092	0.09063	0.02695	0.00124	0.90937	0.02695	0.00124	0.08840	0.02411	0.00118	0.91160	0.02411	0.00118	0.09048	0.02526	0.00120	-0.00020	0.01160	0.00284
THU12	0	17452	17452	3274	18.76003	1.99748	0.00251	0.00038	0.93971	0.01814	0.00102	0.10168	0.05784	0.00182	0.89832	0.05784	0.00182	0.07705	0.02631	0.00123	0.92295	0.02631	0.00123	0.10279	0.04685	0.00164	0.00166	0.02753	0.00038
THU02	0	17435	17435	1749	10.03155	1.00000	0.00000	0.00000	0.94984	0.02256	0.00114	0.10032	0.09026	0.00228	0.89968	0.09026	0.00228	0.05016	0.02256	0.00114	0.94984	0.02256	0.00114	0.10032	0.09026	0.00228	0.00000	0.00000	0.00000
BRZ04	2	17452	17452	3732	21.38437	2.99519	0.00479	0.00052	0.93955	0.01677	0.00098	0.09580	0.04582	0.00162	0.90420	0.04582	0.00162	0.08005	0.02547	0.00121	0.91995	0.02547	0.00121	0.09613	0.03673	0.00145	0.00065	0.02993	0.00052
BRZ05	4	17452	17452	4828	27.66445	4.98734	0.01285	0.00086	0.93282	0.01660	0.00098	0.09771	0.03632	0.00144	0.90229	0.03632	0.00144	0.09213	0.02640	0.00123	0.90787	0.02640	0.00123	0.10241	0.03262	0.00137	0.01029	0.03305	0.00086
BRZ12	18	17452	17452	5498	31.50355	10.39566	0.46353	0.00515	0.93339	0.01586	0.00095	0.09641	0.03071	0.00133	0.90359	0.03071	0.00133	0.09263	0.02547	0.00121	0.90737	0.02547	0.00121	0.09735	0.02813	0.00127	0.00210	0.01994	0.00515
BRZ08	37	17452	17452	6196	35.50309	17.14909	0.27139	0.00394	0.93308	0.01559	0.00095	0.09753	0.02925	0.00129	0.90247	0.02925	0.00129	0.09371	0.02496	0.00120	0.90629	0.02496	0.00120	0.09654	0.02649	0.00123	-0.00257	0.01464	0.00394
BRZ02	4	17452	17452	3432	19.66537	3.97800	0.02301	0.00115	0.94811	0.01428	0.00090	0.08058	0.03620	0.00144	0.91942	0.03620	0.00144	0.06983	0.02238	0.00113	0.93017	0.02238	0.00113	0.07991	0.02931	0.00130	-0.00138	0.02416	0.00115
LAN16	126	17452	17452	9943	56.97341	11.89107	0.10635	0.00247	0.88962	0.02020	0.00108	0.15758	0.03646	0.00145	0.84242	0.03646	0.00145	0.15600	0.03115	0.00134	0.84400	0.03115	0.00134	0.16286	0.03395	0.00139	0.01484	0.03608	0.00247
LAN15	211	17452	17452	10882	62.35388	21.93365	0.08889	0.00226	0.88684	0.02006	0.00107	0.15512	0.03173	0.00135	0.84488	0.03173	0.00135	0.16058	0.03097	0.00133	0.83942	0.03097	0.00133	0.16433	0.03244	0.00136	0.02816	0.03039	0.00226
LAN09	106	17452	17452	10562	60.52028	20.95175	0.06586	0.00194	0.88691	0.02055	0.00109	0.16162	0.03550	0.00143	0.83838	0.03550	0.00143	0.15950	0.03155	0.00134	0.84050	0.03155	0.00134	0.16340	0.03311	0.00138	0.00591	0.02477	0.00194
SUO15	42	17452	17452	6475	37.10176	27.95410	0.05915	0.00184	0.92383	0.01864	0.00103	0.10286	0.03034	0.00132	0.89714	0.03034	0.00132	0.10345	0.02899	0.00129	0.89655	0.02899	0.00129	0.10534	0.03005	0.00131	0.00772	0.01272	0.00184
SUO16	29	17452	17452	4983	28.55260	13.98218	0.02770	0.00126	0.93363	0.01673	0.00098	0.09444	0.03181	0.00135	0.90556	0.03181	0.00135	0.09048	0.02660	0.00123	0.90952	0.02660	0.00123	0.09384	0.02861	0.00128	-0.00104	0.01661	0.00126
