P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
C.albellus	C.acrinasus	C.confusus	0.00028034	0.0201209	0.983947	0.00266691	203.036	198.123	198.012
C.acrinasus	C.duplex	C.albellus	0.00477834	0.432941	0.665057	0.0137941	203.782	191.681	189.858
C.albellus	C.fatioi	C.acrinasus	0.0233098	1.76476	0.0776041	0.124809	247.563	173.086	165.2
C.heglingus	C.albellus	C.acrinasus	0.00220037	0.140866	0.887976	0.0132902	209.693	193.831	192.98
C.albellus	C.profundus	C.acrinasus	0.0212552	1.32038	0.186708	0.120049	224.306	182.21	174.626
C.acrinasus	C.albellus	C.steinmanni	0.0620309	4.3095	1.63622e-05	0.576782	170.54	218.811	193.25
C.zuerichensis	C.albellus	C.acrinasus	0.00630852	0.40369	0.686441	0.0373101	206.784	197.364	194.889
C.confusus	C.acrinasus	C.duplex	0.0185857	1.73106	0.0834406	0.0652261	184.139	202.977	195.57
C.acrinasus	C.fatioi	C.confusus	0.0119049	1.16226	0.24513	0.113403	205.542	197.388	192.743
C.acrinasus	C.heglingus	C.confusus	0.000121669	0.00888633	0.99291	0.0011757	201.919	197.904	197.856
C.confusus	C.acrinasus	C.profundus	0.0123386	1.27187	0.203418	0.0319575	188.2	200.698	195.806
C.acrinasus	C.steinmanni	C.confusus	0.00641679	0.695938	0.486468	0.0587139	213.795	188.575	186.171
C.zuerichensis	C.acrinasus	C.confusus	0.00142395	0.100723	0.91977	0.0138006	201.71	199.27	198.704
C.acrinasus	C.duplex	C.fatioi	0.00604043	0.669752	0.503016	0.0186417	197.214	193.499	191.175
C.heglingus	C.duplex	C.acrinasus	0.0408327	2.9294	0.00339617	0.230717	217.92	188.315	173.54
C.acrinasus	C.profundus	C.duplex	0.00680956	0.406738	0.6842	0.0249496	185.56	194.531	191.9
C.steinmanni	C.acrinasus	C.duplex	0.00440064	0.372668	0.709396	0.0154201	197.244	188.458	186.807
C.zuerichensis	C.duplex	C.acrinasus	0.0447854	3.04908	0.00229547	0.247256	217.996	191.283	174.884
C.acrinasus	C.heglingus	C.fatioi	0.0139323	0.840289	0.400746	0.0451939	190.61	204.98	199.347
C.profundus	C.fatioi	C.acrinasus	0.000828734	0.0640624	0.948921	0.00533882	216.856	181.606	181.306
C.fatioi	C.steinmanni	C.acrinasus	0.0420054	4.39394	1.11316e-05	0.268284	223.18	183.876	169.051
C.acrinasus	C.zuerichensis	C.fatioi	0.00113418	0.0660841	0.947311	0.00368953	192.147	202.967	202.507
C.acrinasus	C.heglingus	C.profundus	0.00466196	0.297104	0.766387	0.0124396	188.882	199.167	197.318
C.acrinasus	C.steinmanni	C.heglingus	0.025215	2.31853	0.0204205	0.0781064	207.726	193.692	184.165
C.zuerichensis	C.heglingus	C.acrinasus	0.00488291	0.568709	0.569554	0.0244771	256.837	167.045	165.422
C.acrinasus	C.profundus	C.steinmanni	0.0170389	1.02227	0.306653	0.15143	178.443	200.279	193.569
C.zuerichensis	C.acrinasus	C.profundus	0.0082418	0.506126	0.612768	0.0215263	190.539	200.599	197.319
C.acrinasus	C.steinmanni	C.zuerichensis	0.0163721	1.5136	0.130127	0.0599337	210.867	191.864	185.683
C.albellus	C.confusus	C.duplex	0.0117701	0.929806	0.352472	0.0401353	190.209	201.751	197.057
C.albellus	C.fatioi	C.confusus	0.0141775	1.22595	0.220217	0.114204	252.723	170.092	165.336
C.albellus	C.heglingus	C.confusus	0.000415019	0.0361567	0.971157	0.00382326	212.61	191.882	191.723
C.albellus	C.profundus	C.confusus	0.0217659	1.6669	0.0955349	0.185326	228.122	181.134	173.417
C.albellus	C.steinmanni	C.confusus	0.00705624	0.573293	0.566447	0.0604147	230.3	179.52	177.004
