-0.0881762,-0.0696617,0.0879866,0.0412497,0.000852613,0.0795402,-0.00638599,-0.00692314,-0.0476965,-0.0330759,-0.0634665,0.125734,0.0280811,-0.0416732,0.0261608,-0.00106321,0.00155573,0.0511569,-0.12782,0.000100243	-0.00126224,-0.0782087,0.0680658,-0.060216,-0.0431358,-0.018669,-0.0290512,-0.0336564,-0.0782276,-0.0220031,0.0168576,0.0829355,-0.0503904,-0.0304707,0.017658,0.0345019,-0.0554747,0.0269786,-0.0188151,-0.0138242	-0.0869236,0.00859383,0.0200408,0.101214,0.0439868,0.0980635,0.0226694,0.0267395,0.0306454,-0.0110809,-0.0802382,0.0432494,0.0783606,-0.0112167,0.00850674,-0.0355638,0.0570255,0.0242117,-0.109268,0.0139244
-0.150525,-0.139453,-0.0352661,0.0443245,0.0319094,0.0949967,-0.051919,-0.0839645,-0.0339132,0.0324232,-0.0446698,0.138122,-0.0414615,-0.0680917,-0.0544514,-0.0217606,-0.0154397,-0.0159265,-0.207942,-0.0392112	0.0580698,-0.0845765,0.0320202,0.0417399,0.00505971,0.0643798,0.00949626,-0.00898219,-0.0339423,-0.0290188,0.058729,0.0752544,-0.000735054,-0.0366427,0.00239187,0.0339017,0.00893927,-0.0427213,-0.114742,0.00985614	-0.206787,-0.0555314,-0.0672104,0.00258939,0.026854,0.0308053,-0.061385,-0.0750389,2.91906e-05,0.0613842,-0.103128,0.0635279,-0.0407277,-0.0315277,-0.0568359,-0.0556213,-0.0243756,0.026813,-0.0954779,-0.0490483
0.204749,0.130651,0.246191,0.142539,0.127818,0.363588,0.113391,0.110466,0.17467,0.173256,0.224164,0.264551,0.173813,0.121654,0.237713,0.129826,0.199648,0.204106,0.0269963,0.126586	0.293652,0.136199,0.25638,0.15571,0.123303,0.298624,0.206294,0.104496,0.133412,0.133737,0.315346,0.281781,0.177461,0.21884,0.300508,0.12343,0.17853,0.15335,0.15901,0.19092	-0.0945905,-0.00564854,-0.0108759,-0.0134705,0.00458663,0.0728761,-0.0951286,0.00603967,0.0422423,0.0404565,-0.098118,-0.0186177,-0.00376417,-0.0998438,-0.0676253,0.00649968,0.0218984,0.0523955,-0.132583,-0.0659266
-0.0110641,-0.109402,0.0783992,0.104521,0.0756076,0.112179,0.0408517,0.0593092,0.0184101,0.0257643,-0.0146848,0.217403,0.0585992,-0.0225103,0.0292255,-0.00508173,0.124428,0.128728,-0.139128,0.0103125	0.110381,-0.0543994,0.0708887,-0.017199,-0.0579486,0.0788059,0.0329685,0.0194214,-0.0629494,0.0212178,0.0956768,0.198541,0.0243975,0.0579846,0.101968,-0.0251745,0.113592,0.122602,-0.0612738,-0.0188856	-0.121297,-0.0553316,0.0075524,0.121502,0.132974,0.0336704,0.00789385,0.0399338,0.0812653,0.00454898,-0.110207,0.0197128,0.0342506,-0.08039,-0.0729603,0.0200953,0.0109906,0.00622434,-0.0785237,0.0291924
0.0382972,-0.0106611,0.150783,0.0933385,0.143261,0.363312,0.147404,0.103875,-0.0126081,0.0739351,0.132526,0.174539,0.143577,0.039213,0.169665,0.0386499,0.0618279,0.163488,0.000495794,0.0255674	0.233613,-0.0124063,0.1654,0.0619321,0.130663,0.334405,0.110808,0.020668,0.0641303,0.0244952,0.205815,0.219422,0.179687,0.0509041,0.247223,-0.00780339,0.0456238,0.145786,0.168115,0.0815418	-0.197079,0.00174541,-0.0149912,0.031589,0.0128385,0.0329054,0.037203,0.0833855,-0.0766764,0.0495296,-0.0753447,-0.04667,-0.0370656,-0.0117145,-0.0809541,0.0464393,0.0162499,0.0181342,-0.167633,-0.0560913
0.0548664,-0.0180779,0.111205,0.0431477,0.0436679,0.205146,0.0224979,0.017544,0.00815869,0.0712496,0.065504,0.158736,0.0824478,0.0272497,0.10857,0.0389842,0.0776576,0.126372,-0.0926588,0.0470605	0.179821,0.0974801,0.178698,0.0637292,0.0768061,0.196232,0.044037,0.0766872,0.0573127,0.078806,0.224381,0.204164,0.135924,0.163391,0.15301,0.0315134,0.154618,0.142053,0.0980306,0.10747	-0.126199,-0.115355,-0.0688614,-0.0206382,-0.0332498,0.00928792,-0.0215605,-0.0592229,-0.049177,-0.00759903,-0.161247,-0.0469505,-0.0540819,-0.13675,-0.0451906,0.00747995,-0.0778953,-0.0159679,-0.188973,-0.0607169
-0.0103194,-0.121483,0.0860691,0.114448,0.0389458,0.15018,0.00624508,0.0102895,-0.052368,0.0276235,-0.0396439,0.21068,0.0313156,-0.0176291,0.015456,-0.00684899,0.10548,0.123049,-0.134852,0.00810346	0.0993304,-0.130601,-0.00702228,0.0341943,-0.110881,0.119566,-0.00425279,-0.0331186,-0.0939406,0.0541293,0.0660319,0.151238,0.00428919,0.0853925,0.0767291,-0.0198223,0.12362,0.0715317,-0.0620281,-0.0040316	-0.109538,0.00926535,0.0930351,0.080569,0.149183,0.0311737,0.0104976,0.0433933,0.041778,-0.0265455,-0.1054,0.0613982,0.0270301,-0.102867,-0.0613459,0.0129751,-0.0183802,0.0519752,-0.0734386,0.0121347
-0.0987617,-0.0405565,-0.0374432,-0.0253332,-0.0237102,0.0446047,-0.0571837,-0.0879127,-0.038562,-0.0254766,-0.000215869,0.093671,-0.0462575,-0.0142456,-0.0104534,0.0399343,-0.0589002,0.0295881,-0.0747092,0.0201476	0.019144,0.0251191,0.0500288,0.07809,-0.00790581,0.122419,0.0243768,0.0172373,-0.00724888,-0.0917642,0.0157907,0.0730098,0.0711409,0.00627927,0.0651453,0.060209,0.0281654,0.0263944,-0.0840859,0.086363	-0.117683,-0.0656087,-0.0873084,-0.103219,-0.0158073,-0.078241,-0.081447,-0.104991,-0.0313219,0.0664429,-0.0160065,0.0208034,-0.117013,-0.020523,-0.0755472,-0.0203235,-0.0869214,0.00319626,0.00943596,-0.0663308
-0.0194361,-0.0486527,0.0722962,-0.0876644,-0.0257934,-0.0185171,-0.0601733,-0.0474398,-0.033068,-0.0206261,-0.00670296,0.045786,-0.0530304,-0.0398884,0.00540526,0.0388384,-0.0557732,0.0116512,-0.0348535,-0.0424844	-0.0315909,-0.0351432,0.101834,0.0247007,0.0133462,0.0215302,0.0436513,-0.0262957,-0.0379905,-0.0641134,-0.012802,0.103321,0.0266189,0.0321425,0.0748966,-0.00273949,-0.0173291,-0.0092569,-0.0261023,0.0265172	0.0121623,-0.0135327,-0.0297564,-0.112122,-0.0391261,-0.0400314,-0.103553,-0.0211705,0.00492866,0.0435449,0.00609954,-0.0578087,-0.079537,-0.0719386,-0.0695194,0.0415734,-0.0384814,0.0209059,-0.00875917,-0.068924
-0.0682883,-0.111636,0.0444231,-0.0286786,-0.0114405,0.00446707,-0.0746673,-0.0408277,-0.0283263,0.00552491,-0.0148965,0.0875258,0.0203192,-0.0457697,0.00370434,0.035713,-0.0408342,0.0353197,-0.0354262,0.0193832	-0.0400669,-0.0513325,0.0565364,-0.0410705,-0.0996822,0.0748747,-0.0605623,-0.0525307,-0.0750834,-0.00982709,0.0102332,0.112401,0.0654525,0.0187898,0.0931205,-0.0217831,0.00824493,0.0538228,-0.0702124,0.00453534	-0.0282987,-0.0606511,-0.0121437,0.0124065,0.0883424,-0.0704312,-0.014169,0.0117281,0.0468568,0.0153512,-0.0251259,-0.0251223,-0.0451933,-0.064504,-0.0894471,0.0574515,-0.0490626,-0.0185384,0.0348729,0.0148491
