NPOP0	NPOP1	T1	MIG	T2	Rescale	MaxEstLhood	MaxObsLhood
1319282	65641	334	0.0329077	30852	1.0000000	-90715.365	-87468.974
638558	26737	136	0.0276204	12749	1.0000000	-90712.471	-87468.974
516340	28145	163	0.0309323	13765	1.0000000	-90712.806	-87468.974
1333037	72153	365	0.0292659	34415	1.0000000	-90724.357	-87468.974
1691949	69512	337	0.0281430	33030	1.0000000	-90703.552	-87468.974
271070	11845	60	0.0306471	5470	1.0000000	-90728.701	-87468.974
843325	41830	200	0.0284782	19911	1.0000000	-90714.496	-87468.974
1426192	83896	313	0.0284443	37835	1.0000000	-90706.037	-87468.974
1157027	68400	386	0.0325107	32903	1.0000000	-90721.974	-87468.974
896744	37076	150	0.0288230	17755	1.0000000	-90715.636	-87468.974
1427820	76595	323	0.0288699	36099	1.0000000	-90735.120	-87468.974
474171	17508	116	0.0332540	8591	1.0000000	-90712.163	-87468.974
858485	42363	262	0.0347966	19461	1.0000000	-90687.662	-87468.974
447190	20677	126	0.0337139	9992	1.0000000	-90699.310	-87468.974
998665	53868	338	0.0296806	24562	1.0000000	-90717.157	-87468.974
1019709	54367	268	0.0273981	25672	1.0000000	-90736.189	-87468.974
1199775	53369	243	0.0290059	25941	1.0000000	-90702.254	-87468.974
1233376	78468	351	0.0309889	35829	1.0000000	-90740.648	-87468.974
598412	25322	95	0.0302661	12302	1.0000000	-90706.350	-87468.974
476031	20257	123	0.0386369	10091	1.0000000	-90708.692	-87468.974
1074982	57413	336	0.0345052	27018	1.0000000	-90714.136	-87468.974
1006416	50133	320	0.0315366	24643	1.0000000	-90711.109	-87468.974
635571	29117	168	0.0325781	14031	1.0000000	-90715.822	-87468.974
1350358	67617	441	0.0321691	33351	1.0000000	-90697.526	-87468.974
674819	32650	200	0.0375024	15830	1.0000000	-90694.288	-87468.974
218370	14034	66	0.0281097	6457	1.0000000	-90725.908	-87468.974
1427687	71064	532	0.0406743	36171	1.0000000	-90714.120	-87468.974
1197248	65637	357	0.0330593	30384	1.0000000	-90714.806	-87468.974
893158	57601	394	0.0354089	27914	1.0000000	-90730.388	-87468.974
1954785	84648	385	0.0303970	38532	1.0000000	-90708.465	-87468.974
1098533	64410	244	0.0290848	31434	1.0000000	-90729.796	-87468.974
1135258	62886	325	0.0295758	30427	1.0000000	-90723.834	-87468.974
1520825	79552	340	0.0272526	36193	1.0000000	-90721.841	-87468.974
1483521	71474	331	0.0319478	34790	1.0000000	-90723.331	-87468.974
717162	31079	131	0.0299359	14838	1.0000000	-90711.929	-87468.974
652598	28882	202	0.0289708	13148	1.0000000	-90717.430	-87468.974
1091604	51564	315	0.0323372	23815	1.0000000	-90708.543	-87468.974
1038436	51008	249	0.0285010	23716	1.0000000	-90703.242	-87468.974
1450907	82279	493	0.0309438	38847	1.0000000	-90717.500	-87468.974
1748248	85559	319	0.0276477	39848	1.0000000	-90720.615	-87468.974
273621	16390	86	0.0295140	7291	1.0000000	-90719.730	-87468.974
511640	22307	107	0.0295003	10570	1.0000000	-90705.666	-87468.974
1470980	70972	448	0.0321185	34506	1.0000000	-90720.779	-87468.974
978808	40708	189	0.0273491	18645	1.0000000	-90721.075	-87468.974
1214722	58424	247	0.0294192	28582	1.0000000	-90730.349	-87468.974
609931	35542	94	0.0250310	15878	1.0000000	-90713.415	-87468.974
1656850	85640	556	0.0297440	37937	1.0000000	-90703.963	-87468.974
1345499	67106	372	0.0324133	31437	1.0000000	-90711.786	-87468.974
1207654	62213	376	0.0305803	30150	1.0000000	-90705.744	-87468.974
689428	35416	259	0.0324891	17211	1.0000000	-90724.929	-87468.974
1648057	77092	335	0.0318184	37580	1.0000000	-90711.906	-87468.974
1744611	87556	365	0.0279721	40027	1.0000000	-90710.695	-87468.974
1356649	68247	311	0.0298045	31581	1.0000000	-90707.525	-87468.974
769386	35145	161	0.0330295	16743	1.0000000	-90710.533	-87468.974
398557	22360	63	0.0280098	10282	1.0000000	-90723.597	-87468.974
1077682	62379	401	0.0306837	29842	1.0000000	-90701.776	-87468.974
1077563	51249	381	0.0406459	25453	1.0000000	-90706.798	-87468.974
993197	34319	191	0.0311539	16510	1.0000000	-90714.046	-87468.974
679973	36431	220	0.0311074	17451	1.0000000	-90702.713	-87468.974
1421844	64634	383	0.0340331	31829	1.0000000	-90699.016	-87468.974
1226540	63541	270	0.0277520	30303	1.0000000	-90721.926	-87468.974
1136666	55854	268	0.0301703	26478	1.0000000	-90707.392	-87468.974
1412195	74360	398	0.0305134	34219	1.0000000	-90721.849	-87468.974
422966	27105	196	0.0342021	14178	1.0000000	-90762.452	-87468.974
1701192	85977	390	0.0290829	39774	1.0000000	-90697.311	-87468.974
354509	16501	71	0.0290010	8062	1.0000000	-90714.829	-87468.974
902920	61759	202	0.0278235	28325	1.0000000	-90766.688	-87468.974
1373001	67976	424	0.0337812	33037	1.0000000	-90712.937	-87468.974
938456	37800	231	0.0284624	18027	1.0000000	-90712.162	-87468.974
624581	24486	181	0.0308473	12158	1.0000000	-90713.821	-87468.974
1119003	46535	225	0.0325872	22056	1.0000000	-90722.667	-87468.974
864927	42625	224	0.0303286	21766	1.0000000	-90721.438	-87468.974
455784	22381	183	0.0385918	10734	1.0000000	-90717.269	-87468.974
761938	39028	192	0.0296049	17979	1.0000000	-90716.195	-87468.974
807396	38872	151	0.0275385	17558	1.0000000	-90701.727	-87468.974
1569820	70870	514	0.0313566	32833	1.0000000	-90705.466	-87468.974
832021	44798	291	0.0350061	20839	1.0000000	-90714.171	-87468.974
1346843	74803	327	0.0291355	35642	1.0000000	-90726.929	-87468.974
834591	41233	237	0.0314395	20004	1.0000000	-90714.896	-87468.974
1056664	47809	246	0.0322095	23277	1.0000000	-90718.652	-87468.974
95312	3529	22	0.0356522	1720	1.0000000	-90721.900	-87468.974
637423	29765	153	0.0336215	14262	1.0000000	-90708.640	-87468.974
1120424	53255	241	0.0264977	25016	1.0000000	-90710.929	-87468.974
1345328	82287	396	0.0295629	37328	1.0000000	-90708.434	-87468.974
1067837	80140	395	0.0292374	35947	1.0000000	-90769.516	-87468.974
1425235	74750	534	0.0367416	35326	1.0000000	-90722.911	-87468.974
1246876	72435	294	0.0272502	34928	1.0000000	-90723.337	-87468.974
990683	36365	179	0.0299080	17819	1.0000000	-90699.654	-87468.974
1003180	40859	231	0.0336484	19690	1.0000000	-90684.187	-87468.974
857964	39929	226	0.0313666	19589	1.0000000	-90692.590	-87468.974
1404511	78078	429	0.0303944	35470	1.0000000	-90710.093	-87468.974
1158880	64141	422	0.0329614	31138	1.0000000	-90696.958	-87468.974
1417003	70027	523	0.0365639	32571	1.0000000	-90715.545	-87468.974
253927	12745	45	0.0297928	6127	1.0000000	-90718.015	-87468.974
1189889	59630	259	0.0294234	27695	1.0000000	-90717.545	-87468.974
886835	37943	206	0.0305783	18245	1.0000000	-90717.364	-87468.974
1338824	52145	294	0.0345950	25532	1.0000000	-90694.922	-87468.974
