NPOP0	NPOP1	T1	MIG	T2	Rescale	MaxEstLhood	MaxObsLhood
1203889	57822	314	0.0334412	0.7690908	27222	1.0000000	-90697.253	-87468.974
1410631	67698	304	0.0260264	0.7284408	33150	1.0000000	-90709.233	-87468.974
163938	7849	31	0.0283936	0.8224486	3664	1.0000000	-90706.179	-87468.974
1037366	62388	350	0.0292464	0.6512233	29000	1.0000000	-90722.981	-87468.974
1319977	68346	327	0.0320881	0.8957052	32324	1.0000000	-90716.151	-87468.974
1643333	79949	395	0.0311975	0.6903914	37430	1.0000000	-90712.725	-87468.974
1016009	61016	524	0.0365083	0.7220818	29793	1.0000000	-90744.388	-87468.974
747853	37424	110	0.0261976	0.8524547	17191	1.0000000	-90718.143	-87468.974
743868	37935	164	0.0263608	0.4211401	18129	1.0000000	-90700.421	-87468.974
1006200	48324	173	0.0308658	0.6132117	22948	1.0000000	-90713.124	-87468.974
736622	31896	198	0.0332791	0.8933055	14994	1.0000000	-90715.685	-87468.974
1395220	67362	330	0.0327655	0.3480909	32356	1.0000000	-90705.957	-87468.974
1227849	61251	279	0.0256541	0.2311812	28737	1.0000000	-90708.462	-87468.974
970852	43857	236	0.0296632	0.2276319	20465	1.0000000	-90704.353	-87468.974
1180373	48065	308	0.0379673	0.2103206	23265	1.0000000	-90703.278	-87468.974
1208927	50559	265	0.0314946	0.7951521	24446	1.0000000	-90695.588	-87468.974
223624	8593	58	0.0348901	0.5586773	4215	1.0000000	-90700.743	-87468.974
1314082	74588	297	0.0281471	0.1619038	34165	1.0000000	-90708.618	-87468.974
1434262	76387	240	0.0276998	0.6084178	34699	1.0000000	-90691.945	-87468.974
479668	23591	136	0.0303551	0.2095505	11282	1.0000000	-90705.090	-87468.974
1584052	67363	443	0.0316676	0.7982919	34243	1.0000000	-90712.315	-87468.974
1039861	83796	364	0.0292942	0.4141448	36190	1.0000000	-90790.265	-87468.974
1090887	46762	247	0.0313281	0.6283823	22706	1.0000000	-90709.096	-87468.974
1048564	56044	324	0.0313876	0.4278386	26892	1.0000000	-90712.044	-87468.974
704188	28950	129	0.0282166	0.4821937	14038	1.0000000	-90705.805	-87468.974
1179455	55068	240	0.0289211	0.3237102	25581	1.0000000	-90719.349	-87468.974
1004074	47073	300	0.0327006	0.1878381	22965	1.0000000	-90709.287	-87468.974
896088	36164	192	0.0294086	0.3178883	17012	1.0000000	-90713.938	-87468.974
1195721	59873	254	0.0312246	0.5167963	27930	1.0000000	-90710.674	-87468.974
1136942	53823	337	0.0322012	0.4486497	25969	1.0000000	-90695.003	-87468.974
934511	56257	285	0.0327719	0.5668345	26557	1.0000000	-90714.560	-87468.974
1059598	63494	328	0.0256963	0.6647874	30568	1.0000000	-90740.091	-87468.974
1135020	64099	331	0.0308520	0.7566610	29350	1.0000000	-90715.670	-87468.974
1273389	77514	364	0.0293916	0.3538375	36850	1.0000000	-90718.099	-87468.974
1108820	57363	303	0.0278604	0.3241871	28725	1.0000000	-90723.108	-87468.974
1720525	75509	437	0.0312754	0.1881042	36884	1.0000000	-90712.356	-87468.974
785600	44351	184	0.0298127	0.6811656	20190	1.0000000	-90725.271	-87468.974
1058660	58430	400	0.0351113	0.3572275	27622	1.0000000	-90720.038	-87468.974
566436	26008	100	0.0265566	0.4125693	12234	1.0000000	-90691.156	-87468.974
645683	23969	135	0.0318722	0.6101375	11412	1.0000000	-90695.973	-87468.974
1742780	83123	399	0.0290384	0.6716300	39990	1.0000000	-90698.161	-87468.974
1023854	56347	244	0.0276501	0.2781683	25587	1.0000000	-90715.481	-87468.974
861792	38699	191	0.0278007	0.8538181	18605	1.0000000	-90703.509	-87468.974
1299912	78173	441	0.0337482	0.2897950	36688	1.0000000	-90725.528	-87468.974
1444671	71112	340	0.0268674	0.0946802	33937	1.0000000	-90707.103	-87468.974
1265604	70058	322	0.0292667	0.1599841	33409	1.0000000	-90711.400	-87468.974
1039025	53893	324	0.0334392	0.5727138	27032	1.0000000	-90724.595	-87468.974
956481	49239	252	0.0301194	0.6795901	23570	1.0000000	-90722.680	-87468.974
948137	44697	257	0.0318051	0.4576119	21325	1.0000000	-90705.199	-87468.974
1276192	67731	303	0.0257525	0.4183448	32590	1.0000000	-90727.006	-87468.974
746859	29652	140	0.0343109	0.6733476	13899	1.0000000	-90700.801	-87468.974
1230214	55866	284	0.0312810	0.1699339	25692	1.0000000	-90710.943	-87468.974
1324932	76432	425	0.0328545	0.6478214	36103	1.0000000	-90722.865	-87468.974
1420543	68578	375	0.0353226	0.4378839	32719	1.0000000	-90702.765	-87468.974
731186	35197	164	0.0296014	0.5649628	17362	1.0000000	-90710.474	-87468.974
1508518	73418	453	0.0291013	0.1782037	34076	1.0000000	-90714.630	-87468.974
215886	7664	47	0.0339464	0.7777677	3858	1.0000000	-90708.674	-87468.974
865936	46381	236	0.0303024	0.7713027	21216	1.0000000	-90713.118	-87468.974
946414	52604	246	0.0296103	0.3179015	24978	1.0000000	-90716.621	-87468.974
746101	28650	173	0.0350305	0.2589023	13752	1.0000000	-90709.082	-87468.974
515615	24535	84	0.0270213	0.7096443	11320	1.0000000	-90691.366	-87468.974
707524	35182	155	0.0309356	0.4024907	17993	1.0000000	-90723.434	-87468.974
888181	28518	156	0.0316249	0.8916750	13640	1.0000000	-90699.528	-87468.974
1136695	66594	374	0.0308062	0.7133193	33109	1.0000000	-90736.626	-87468.974
844287	42763	185	0.0308839	0.3986248	20172	1.0000000	-90699.817	-87468.974
1815964	68559	334	0.0302918	0.2278728	33487	1.0000000	-90696.795	-87468.974
2171580	87826	548	0.0314924	0.6833464	41875	1.0000000	-90680.343	-87468.974
1022132	45609	257	0.0314314	0.8234929	22366	1.0000000	-90704.180	-87468.974
1472267	73902	298	0.0299345	0.3762833	35038	1.0000000	-90707.760	-87468.974
1275698	67837	503	0.0370759	0.2088962	34530	1.0000000	-90724.912	-87468.974
783376	34776	173	0.0359633	0.2871031	16978	1.0000000	-90701.967	-87468.974
847134	39917	134	0.0316233	0.8186714	19302	1.0000000	-90711.956	-87468.974
1200019	66270	357	0.0301451	0.8009478	30677	1.0000000	-90707.413	-87468.974
1574533	74362	383	0.0317157	0.6360895	34847	1.0000000	-90699.870	-87468.974
255369	10334	56	0.0318224	0.2461685	4951	1.0000000	-90705.575	-87468.974
1706741	82748	594	0.0318033	0.9482963	39183	1.0000000	-90716.835	-87468.974
643782	29715	171	0.0339716	0.5680185	14414	1.0000000	-90708.831	-87468.974
844645	31602	198	0.0296366	0.8834539	15059	1.0000000	-90708.137	-87468.974
877698	41800	205	0.0324053	0.1782069	19966	1.0000000	-90715.950	-87468.974
872528	42557	195	0.0327763	0.8431170	21070	1.0000000	-90708.566	-87468.974
822098	41125	171	0.0285740	0.4669928	20354	1.0000000	-90728.318	-87468.974
964164	45245	183	0.0304251	0.0781713	21695	1.0000000	-90714.980	-87468.974
535300	23924	125	0.0310275	0.7999391	11359	1.0000000	-90700.723	-87468.974
1520509	80841	517	0.0316547	0.4353933	38827	1.0000000	-90722.292	-87468.974
541644	19162	85	0.0308761	0.3946474	8849	1.0000000	-90710.178	-87468.974
1323510	63759	307	0.0320660	0.7068642	30730	1.0000000	-90707.988	-87468.974
730653	30271	116	0.0270267	0.5509202	14384	1.0000000	-90698.857	-87468.974
1168570	67074	414	0.0310953	0.5024422	32139	1.0000000	-90731.019	-87468.974
846752	42254	210	0.0310856	0.1439313	20768	1.0000000	-90702.187	-87468.974
681411	31880	172	0.0274361	0.5639811	14965	1.0000000	-90714.670	-87468.974
986493	44891	264	0.0320266	0.5238023	22087	1.0000000	-90705.504	-87468.974
209359	8642	48	0.0293803	0.6395796	4114	1.0000000	-90693.683	-87468.974
1684005	93116	288	0.0291814	0.6843243	42978	1.0000000	-90725.287	-87468.974
540224	24922	109	0.0272414	0.4053396	11074	1.0000000	-90716.424	-87468.974
1061683	55648	200	0.0281638	0.2459487	25910	1.0000000	-90721.017	-87468.974
1222989	64278	369	0.0362321	0.6115627	31696	1.0000000	-90721.589	-87468.974
1110810	54126	208	0.0284028	0.4215319	25657	1.0000000	-90701.821	-87468.974
1104021	47874	372	0.0360819	0.7558144	23821	1.0000000	-90712.652	-87468.974
1551462	81911	355	0.0292230	0.7247539	39783	1.0000000	-90723.287	-87468.974
400602	16953	75	0.0306099	0.4895617	8384	1.0000000	-90708.315	-87468.974
