MAPQ	THU086	LAN103	SUO105
0	1184253	1369975	1591195
1	24849	34668	31628
2	23262	29559	30127
3	28941	37707	38154
4	26104	35555	33458
5	26485	58588	55173
6	26513	33176	33864
7	43016	60080	57196
8	20763	22258	20635
9	39056	46015	42623
10	21237	24545	25991
11	16157	19536	17625
12	20993	24163	24678
13	27081	36321	34480
14	16967	19442	18318
15	31531	37485	37170
16	24988	27176	29071
17	22203	29218	27961
18	25912	31420	30615
19	37910	45131	42779
20	27489	34932	30127
21	27222	32900	36289
22	31213	41809	37395
23	20537	26874	26666
24	28900	39799	33176
25	32230	42519	44307
26	8778	11557	12232
27	88279	112865	96340
28	12909	14239	15516
29	9002	11819	13261
30	17929	21895	19708
31	19846	24196	25811
32	12069	13492	14113
33	27499	35643	31341
34	13382	16283	16161
35	12800	16259	15010
36	17831	27055	27786
37	18043	23064	21361
38	10498	13253	10856
39	26864	40242	33151
40	662883	794268	728029
41	39762	45663	47239
42	35639	41732	41530
43	54559	60411	61703
44	47597	56975	57913
45	68732	80174	80908
46	68338	69986	74782
47	74107	96958	103514
48	112838	112862	112756
49	25729	32689	35473
50	31031	34854	34622
51	28516	35426	36023
52	40112	44763	44536
53	16144	18761	19032
54	21500	25434	24991
55	23936	32443	28463
56	27429	35089	34105
57	46496	54083	50038
58	21917	30062	32251
59	48268	58644	54396
60	11943776	12765910	13104560
