clust_threshold	sample	clusters_total	filtered_by_depth	filtered_by_maxH	filtered_by_maxAlleles	filtered_by_maxN	reads_consens	nsites	nhetero	heterozygosity
c85	LAN103	255083	179505	449	3517.0	0	71221	26590237	77057	0.00290
c85	SUO105	233261	158056	378	2558.0	0	71795	25763897	60047	0.00233
c85	THU086	246677	171186	366	2759.0	0	71942	26244599	64184	0.00245
c81	LAN103	255083	179505	449	3517.0	0	71221	26590237	77057	0.00290
c81	SUO105	233261	158056	378	2558.0	0	71795	25763897	60047	0.00233
c81	THU086	246677	171186	366	2759.0	0	71942	26244599	64184	0.00245
c89	LAN103	255083	179505	449	3517.0	0	71221	26590237	77057	0.00290
c89	SUO105	233261	158056	378	2558.0	0	71795	25763897	60047	0.00233
c89	THU086	246677	171186	366	2759.0	0	71942	26244599	64184	0.00245
c87	LAN103	255083	179505	449	3517.0	0	71221	26590237	77057	0.00290
c87	SUO105	233261	158056	378	2558.0	0	71795	25763897	60047	0.00233
c87	THU086	246677	171186	366	2759.0	0	71942	26244599	64184	0.00245
c95	LAN103	255083	179505	449	3517.0	0	71221	26590237	77057	0.00290
c95	SUO105	233261	158056	378	2558.0	0	71795	25763897	60047	0.00233
c95	THU086	246677	171186	366	2759.0	0	71942	26244599	64184	0.00245
c83	LAN103	255083	179505	449	3517.0	0	71221	26590237	77057	0.00290
c83	SUO105	233261	158056	378	2558.0	0	71795	25763897	60047	0.00233
c83	THU086	246677	171186	366	2759.0	0	71942	26244599	64184	0.00245
c93	LAN103	255083	179505	449	3517.0	0	71221	26590237	77057	0.00290
c93	SUO105	233261	158056	378	2558.0	0	71795	25763897	60047	0.00233
c93	THU086	246677	171186	366	2759.0	0	71942	26244599	64184	0.00245
c99	LAN103	255083	179505	449	3517.0	0	71221	26590237	77057	0.00290
c99	SUO105	233261	158056	378	2558.0	0	71795	25763897	60047	0.00233
c99	THU086	246677	171186	366	2759.0	0	71942	26244599	64184	0.00245
c97	LAN103	255083	179505	449	3517.0	0	71221	26590237	77057	0.00290
c97	SUO105	233261	158056	378	2558.0	0	71795	25763897	60047	0.00233
c97	THU086	246677	171186	366	2759.0	0	71942	26244599	64184	0.00245
c91	LAN103	255083	179505	449	3517.0	0	71221	26590237	77057	0.00290
c91	SUO105	233261	158056	378	2558.0	0	71795	25763897	60047	0.00233
c91	THU086	246677	171186	366	2759.0	0	71942	26244599	64184	0.00245
