Species	Sample	Coefficient	Estimate
C.acrinasus	THU001	(Intercept)	427.314531974242
C.acrinasus	THU001	size	0.989636425945741
C.acrinasus	THU001	chrLR778254.1	0.977894008810347
C.acrinasus	THU001	chrLR778255.1	0.979290494618952
C.acrinasus	THU001	chrLR778256.1	1.09110347204916
C.acrinasus	THU001	chrLR778257.1	1.01881571507609
C.acrinasus	THU001	chrLR778258.1	1.0091688323891
C.acrinasus	THU001	chrLR778259.1	1.05250093092561
C.acrinasus	THU001	chrLR778260.1	1.0484322084321
C.acrinasus	THU001	chrLR778261.1	1.12687145582008
C.acrinasus	THU001	chrLR778262.1	0.995785371836019
C.acrinasus	THU001	chrLR778263.1	1.02856748394806
C.acrinasus	THU001	chrLR778264.1	0.97642174158857
C.acrinasus	THU001	chrLR778265.1	1.01531250074025
C.acrinasus	THU001	chrLR778266.1	1.06934372715333
C.acrinasus	THU001	chrLR778267.1	1.04791018749761
C.acrinasus	THU001	chrLR778268.1	1.03477891444239
C.acrinasus	THU001	chrLR778269.1	1.0491297983512
C.acrinasus	THU001	chrLR778270.1	1.02491401764196
C.acrinasus	THU001	chrLR778271.1	1.01258936619999
C.acrinasus	THU001	chrLR778272.1	1.04397229411943
C.acrinasus	THU001	chrLR778273.1	1.0016939563171
C.acrinasus	THU001	chrLR778274.1	1.65415256767468
C.acrinasus	THU001	chrLR778275.1	1.00924485074101
C.acrinasus	THU001	chrLR778276.1	1.0311077099049
C.acrinasus	THU001	chrLR778277.1	0.99315597844616
C.acrinasus	THU001	chrLR778278.1	0.987990327207919
C.acrinasus	THU001	chrLR778279.1	1.01410484642647
C.acrinasus	THU001	chrLR778280.1	1.2987624595322
C.acrinasus	THU001	chrLR778281.1	1.00464196209178
C.acrinasus	THU001	chrLR778282.1	1.00150234198241
C.acrinasus	THU001	chrLR778283.1	0.967371907645586
C.acrinasus	THU001	chrLR778284.1	1.58722255385941
C.acrinasus	THU001	chrLR778285.1	1.00334946071316
C.acrinasus	THU001	chrLR778286.1	0.944089704519188
C.acrinasus	THU001	chrLR778287.1	1.22606144487252
C.acrinasus	THU001	chrLR778288.1	1.0286938463689
C.acrinasus	THU001	chrLR778289.1	1.05668601212514
C.acrinasus	THU001	chrLR778290.1	1.55367769443186
