chr	sp	fish	MinCov	MaxCov	AverCov	SDCov
LR778253.1	C.acrinasus	THU001	6	1110.02	31.476412065049	34.8359061222301
LR778254.1	C.acrinasus	THU001	6	140.503	29.3008987712895	22.5724572848285
LR778255.1	C.acrinasus	THU001	6	126.911	29.1896954057279	22.1833659581012
LR778256.1	C.acrinasus	THU001	6	206.97	32.1665198361582	27.1329246539195
LR778257.1	C.acrinasus	THU001	6	143.425	30.9174811449452	22.9499984595692
LR778258.1	C.acrinasus	THU001	6	110.772	28.9966713310185	21.3838106532704
LR778259.1	C.acrinasus	THU001	6	654.019	31.2881642645503	31.5575096305991
LR778260.1	C.acrinasus	THU001	6	134.194	31.3142915295926	23.2922104049222
LR778261.1	C.acrinasus	THU001	6	2741.46	31.7317279857651	75.5697081611032
LR778262.1	C.acrinasus	THU001	6	117.543	29.5446713047069	22.0635721526384
LR778263.1	C.acrinasus	THU001	6	155.13	30.5349042431193	21.8372841149919
LR778264.1	C.acrinasus	THU001	6	119.505	29.1221455230769	21.894044385072
LR778265.1	C.acrinasus	THU001	6	1852.88	32.1492054646545	56.0829707278145
LR778266.1	C.acrinasus	THU001	6	777.039	31.2100246680286	33.9286905770054
LR778267.1	C.acrinasus	THU001	6	322.817	30.1489084268629	24.4005473602405
LR778268.1	C.acrinasus	THU001	6	138.989	31.1635677197802	23.3533908265264
LR778269.1	C.acrinasus	THU001	6	155.681	31.0855718438178	23.3233849969324
LR778270.1	C.acrinasus	THU001	6	212.261	32.0224066603416	24.6008213567537
LR778271.1	C.acrinasus	THU001	6	381.234	30.0219815942029	23.9469106683827
LR778272.1	C.acrinasus	THU001	6	129.973	30.6727428547297	22.6752736441988
LR778273.1	C.acrinasus	THU001	6	120.591	29.7958098646035	21.9937465504166
LR778274.1	C.acrinasus	THU001	6	367.867	45.5945808024691	44.6750661271495
LR778275.1	C.acrinasus	THU001	6	256.163	30.3600296367113	24.2180980446018
LR778276.1	C.acrinasus	THU001	6	184.447	30.119488005923	22.5257825395066
LR778277.1	C.acrinasus	THU001	6	134.163	31.1376585323887	23.113339370948
LR778278.1	C.acrinasus	THU001	6	176.322	29.9669489910979	23.3641091974464
LR778279.1	C.acrinasus	THU001	6	134.314	30.7570769207003	23.3204849000307
LR778280.1	C.acrinasus	THU001	6	218.409	36.6140450854271	33.062025308376
LR778281.1	C.acrinasus	THU001	6	964.22	31.3025286660079	36.9376412497742
LR778282.1	C.acrinasus	THU001	6	278.645	30.2192469215292	24.4190921640197
LR778283.1	C.acrinasus	THU001	6	144.574	30.1701743688363	22.0392233717977
LR778284.1	C.acrinasus	THU001	6	438.191	43.598052749213	42.6965346669144
LR778285.1	C.acrinasus	THU001	6	129.733	30.4651548315912	22.192481805032
LR778286.1	C.acrinasus	THU001	6	413.949	30.3896363125	29.1381359000797
LR778287.1	C.acrinasus	THU001	6	207.473	34.7281878275862	31.0297819590863
LR778288.1	C.acrinasus	THU001	6	331.466	31.100222265896	24.3148224481583
LR778289.1	C.acrinasus	THU001	6	189.914	32.3493190938865	25.9189807668513
LR778290.1	C.acrinasus	THU001	6	479.265	43.5756996974281	48.9983271411107
LR778291.1	C.acrinasus	THU001	6	125.74	29.9516769295302	23.4701384662019
LR778292.1	C.acrinasus	THU001	6	108	31.5726628	23.8778369241153
LR778253.1	C.acrinasus	THU002	6	4763.21	87.3587500329272	118.654428962553
LR778254.1	C.acrinasus	THU002	6	314.148	79.5612996139288	73.3594484400089
LR778255.1	C.acrinasus	THU002	6	356.938	78.9665323254086	74.3157213398565
LR778256.1	C.acrinasus	THU002	6	650.943	88.5477772531876	87.1028016167092
LR778257.1	C.acrinasus	THU002	6	751.226	83.1499556185567	79.4435583666264
LR778258.1	C.acrinasus	THU002	6	371.889	80.6638444387381	74.2077549656553
LR778259.1	C.acrinasus	THU002	6	770.457	83.4213431417374	84.3250238350798
LR778260.1	C.acrinasus	THU002	6	460.583	83.7831502362584	77.3319642882875
LR778261.1	C.acrinasus	THU002	6	2514.7	84.2176304489235	91.5670566482854
LR778262.1	C.acrinasus	THU002	6	465.602	82.8788396828753	76.2147256839954
