"indv" "grp" "pop" "lake"
"THU001" "THU01" "C.acrinasus" "THU"
"THU002" "THU01" "C.acrinasus" "THU"
"THU004" "THU01" "C.acrinasus" "THU"
"THU038" "THU01" "C.acrinasus" "THU"
"THU067" "THU01" "C.acrinasus" "THU"
"THU097" "THU01" "C.acrinasus" "THU"
"THU114" "THU01" "C.acrinasus" "THU"
"THU143" "THU01" "C.acrinasus" "THU"
"THU183" "THU01" "C.acrinasus" "THU"
"THU187" "THU01" "C.acrinasus" "THU"
"BRZ014" "BRI08" "C.albellus" "BRI"
"BRZ015" "BRI08" "C.albellus" "BRI"
"BRZ019" "BRI08" "C.albellus" "BRI"
"BRZ020" "BRI08" "C.albellus" "BRI"
"BRZ025" "BRI08" "C.albellus" "BRI"
"BRZ026" "BRI08" "C.albellus" "BRI"
"BRZ027" "BRI08" "C.albellus" "BRI"
"BRZ028" "BRI08" "C.albellus" "BRI"
"BRZ031" "BRI08" "C.albellus" "BRI"
"BRZ033" "BRI08" "C.albellus" "BRI"
"BRZ034" "BRI08" "C.albellus" "BRI"
"BRZ039" "BRI08" "C.albellus" "BRI"
"BRZ040" "BRI08" "C.albellus" "BRI"
"BRZ041" "BRI08" "C.albellus" "BRI"
"BRZ068" "BRI08" "C.albellus" "BRI"
"BRZ070" "BRI08" "C.albellus" "BRI"
"BRZ071" "BRI08" "C.albellus" "BRI"
"THU007" "THU08" "C.albellus" "THU"
"THU010" "THU08" "C.albellus" "THU"
"THU011" "THU08" "C.albellus" "THU"
"THU027" "THU08" "C.albellus" "THU"
"THU077" "THU08" "C.albellus" "THU"
"THU079" "THU08" "C.albellus" "THU"
"THU080" "THU08" "C.albellus" "THU"
"THU082" "THU08" "C.albellus" "THU"
"THU083" "THU08" "C.albellus" "THU"
"THU084" "THU08" "C.albellus" "THU"
"THU087" "THU08" "C.albellus" "THU"
"BIE002" "BIE07" "C.confusus" "BIE"
"BIE004" "BIE07" "C.confusus" "BIE"
"BIE005" "BIE07" "C.confusus" "BIE"
"BIE006" "BIE07" "C.confusus" "BIE"
"BIE007" "BIE07" "C.confusus" "BIE"
"BIE008" "BIE07" "C.confusus" "BIE"
"BIE028" "BIE07" "C.confusus" "BIE"
"BIE030" "BIE07" "C.confusus" "BIE"
"BIE044" "BIE07" "C.confusus" "BIE"
"BIE045" "BIE07" "C.confusus" "BIE"
"BIE048" "BIE07" "C.confusus" "BIE"
"BIE049" "BIE07" "C.confusus" "BIE"
"BIE050" "BIE07" "C.confusus" "BIE"
"BIE092" "BIE07" "C.confusus" "BIE"
"WAL003" "WAL10" "C.duplex" "WAL"
"WAL004" "WAL10" "C.duplex" "WAL"
"WAL006" "WAL10" "C.duplex" "WAL"
"WAL007" "WAL10" "C.duplex" "WAL"
"WAL009" "WAL10" "C.duplex" "WAL"
"WAL010" "WAL10" "C.duplex" "WAL"
"WAL014" "WAL10" "C.duplex" "WAL"
"WAL016" "WAL10" "C.duplex" "WAL"
"WAL078" "WAL10" "C.duplex" "WAL"
"WAL079" "WAL10" "C.duplex" "WAL"
"WAL084" "WAL10" "C.duplex" "WAL"
"WAL086" "WAL10" "C.duplex" "WAL"
"WAL088" "WAL10" "C.duplex" "WAL"
"ZUR011" "ZUR10" "C.duplex" "ZUR"
"ZUR018" "ZUR10" "C.duplex" "ZUR"
"BRZ005" "BRI12" "C.fatioi" "BRI"
"BRZ006" "BRI12" "C.fatioi" "BRI"
"BRZ008" "BRI12" "C.fatioi" "BRI"
"BRZ052" "BRI12" "C.fatioi" "BRI"
"BRZ054" "BRI12" "C.fatioi" "BRI"
"BRZ083" "BRI12" "C.fatioi" "BRI"
"BRZ099" "BRI12" "C.fatioi" "BRI"
"BRZ107" "BRI12" "C.fatioi" "BRI"
"THU081" "THU12" "C.fatioi" "THU"
"THU120" "THU12" "C.fatioi" "THU"
"THU005" "THU06" "C.steinmanni" "THU"
"THU039" "THU06" "C.steinmanni" "THU"
"THU073" "THU06" "C.steinmanni" "THU"
"THU086" "THU06" "C.steinmanni" "THU"
"THU177" "THU06" "C.steinmanni" "THU"
"THU179" "THU06" "C.steinmanni" "THU"
"THU185" "THU06" "C.steinmanni" "THU"
"THU190" "THU06" "C.steinmanni" "THU"
"THU197" "THU06" "C.steinmanni" "THU"
"THU198" "THU06" "C.steinmanni" "THU"
"175602" "ZUR13" "C.heglingus" "ZUR"
"175609" "ZUR13" "C.heglingus" "ZUR"
"175615" "ZUR13" "C.heglingus" "ZUR"
"175616" "ZUR13" "C.heglingus" "ZUR"
"175618" "ZUR13" "C.heglingus" "ZUR"
"WAL021" "WAL13" "C.heglingus" "WAL"
"WAL022" "WAL13" "C.heglingus" "WAL"
"WAL024" "WAL13" "C.heglingus" "WAL"
"WAL030" "WAL13" "C.heglingus" "WAL"
"WAL031" "WAL13" "C.heglingus" "WAL"
"WAL033" "WAL13" "C.heglingus" "WAL"
"WAL036" "WAL13" "C.heglingus" "WAL"
"WAL040" "WAL13" "C.heglingus" "WAL"
"WAL041" "WAL13" "C.heglingus" "WAL"
"WAL042" "WAL13" "C.heglingus" "WAL"
"WAL045" "WAL13" "C.heglingus" "WAL"
"THU056" "THU14" "C.profundus" "THU"
"THU060" "THU14" "C.profundus" "THU"
"THU061" "THU14" "C.profundus" "THU"
"THU091" "THU14" "C.profundus" "THU"
"THU099" "THU14" "C.profundus" "THU"
"THU104" "THU14" "C.profundus" "THU"
"THU106" "THU14" "C.profundus" "THU"
"THU107" "THU14" "C.profundus" "THU"
"THU108" "THU14" "C.profundus" "THU"
"THU109" "THU14" "C.profundus" "THU"
"THU110" "THU14" "C.profundus" "THU"
"THU111" "THU14" "C.profundus" "THU"
"THU113" "THU14" "C.profundus" "THU"
"THU118" "THU14" "C.profundus" "THU"
"THU119" "THU14" "C.profundus" "THU"
"THU124" "THU14" "C.profundus" "THU"
"THU127" "THU14" "C.profundus" "THU"
"THU128" "THU14" "C.profundus" "THU"
"THU164" "THU14" "C.profundus" "THU"
"THU165" "THU14" "C.profundus" "THU"
"THU168" "THU14" "C.profundus" "THU"
"THU173" "THU14" "C.profundus" "THU"
"175600" "ZUR17" "C.zuerichensis" "ZUR"
"175601" "ZUR17" "C.zuerichensis" "ZUR"
"175603" "ZUR17" "C.zuerichensis" "ZUR"
"175604" "ZUR17" "C.zuerichensis" "ZUR"
"175605" "ZUR17" "C.zuerichensis" "ZUR"
"175606" "ZUR17" "C.zuerichensis" "ZUR"
"175607" "ZUR17" "C.zuerichensis" "ZUR"
"175608" "ZUR17" "C.zuerichensis" "ZUR"
"175610" "ZUR17" "C.zuerichensis" "ZUR"
"175611" "ZUR17" "C.zuerichensis" "ZUR"
"175612" "ZUR17" "C.zuerichensis" "ZUR"
"175613" "ZUR17" "C.zuerichensis" "ZUR"
"175614" "ZUR17" "C.zuerichensis" "ZUR"
"175617" "ZUR17" "C.zuerichensis" "ZUR"
"175619" "ZUR17" "C.zuerichensis" "ZUR"
"175620" "ZUR17" "C.zuerichensis" "ZUR"
"175621" "ZUR17" "C.zuerichensis" "ZUR"
"LAN005" "LAN16" "P" "LAN"
"LAN017" "LAN16" "P" "LAN"
"LAN018" "LAN16" "P" "LAN"
"LAN019" "LAN16" "P" "LAN"
"LAN022" "LAN16" "P" "LAN"
"LAN033" "LAN16" "P" "LAN"
"LAN038" "LAN16" "P" "LAN"
"LAN039" "LAN16" "P" "LAN"
"LAN040" "LAN16" "P" "LAN"
"LAN041" "LAN16" "P" "LAN"
"LAN052" "LAN16" "P" "LAN"
"LAN042" "LAN15" "D" "LAN"
"LAN045" "LAN15" "D" "LAN"
"LAN050" "LAN15" "D" "LAN"
"LAN063" "LAN15" "D" "LAN"
"LAN111" "LAN15" "D" "LAN"
"LAN130" "LAN15" "D" "LAN"
"LAN043" "LAN15" "L" "LAN"
"LAN044" "LAN15" "L" "LAN"
"LAN047" "LAN15" "L" "LAN"
"LAN048" "LAN15" "L" "LAN"
"LAN049" "LAN15" "L" "LAN"
"LAN059" "LAN09" "L" "LAN"
"LAN060" "LAN09" "L" "LAN"
"LAN061" "LAN09" "L" "LAN"
"LAN062" "LAN15" "L" "LAN"
"LAN064" "LAN15" "L" "LAN"
"LAN065" "LAN15" "L" "LAN"
"LAN067" "LAN15" "L" "LAN"
"LAN071" "LAN15" "L" "LAN"
"LAN072" "LAN09" "L" "LAN"
"LAN074" "LAN09" "L" "LAN"
"LAN087" "LAN09" "L" "LAN"
"LAN088" "LAN09" "L" "LAN"
"LAN089" "LAN09" "L" "LAN"
"LAN090" "LAN09" "L" "LAN"
"LAN092" "LAN09" "L" "LAN"
"LAN093" "LAN09" "L" "LAN"
"LAN095" "LAN09" "L" "LAN"
"LAN097" "LAN09" "L" "LAN"
"LAN098" "LAN09" "L" "LAN"
"LAN099" "LAN09" "L" "LAN"
"LAN102" "LAN09" "L" "LAN"
"LAN103" "LAN09" "L" "LAN"
"LAN113" "LAN15" "L" "LAN"
"LAN114" "LAN09" "L" "LAN"
"LAN115" "LAN09" "L" "LAN"
"LAN117" "LAN09" "L" "LAN"
"LAN119" "LAN09" "L" "LAN"
"LAN131" "LAN15" "L" "LAN"
"LAN132" "LAN15" "L" "LAN"
"LAN133" "LAN15" "L" "LAN"
"LAN134" "LAN15" "L" "LAN"
"LAN135" "LAN15" "L" "LAN"
