#REF	ALT	Missing	Total
183	45	0	228
35	193	0	228
15	213	0	228
212	16	0	228
140	88	0	228
225	3	0	228
174	50	4	228
218	10	0	228
223	5	0	228
97	129	2	228
92	124	12	228
218	8	2	228
190	30	8	228
136	90	2	228
218	8	2	228
214	2	12	228
181	37	10	228
180	42	6	228
217	11	0	228
222	6	0	228
194	22	12	228
213	3	12	228
100	126	2	228
106	122	0	228
211	15	2	228
4	222	2	228
201	27	0	228
47	179	2	228
95	121	12	228
215	13	0	228
186	42	0	228
213	3	12	228
52	164	12	228
198	28	2	228
212	14	2	228
146	82	0	228
151	75	2	228
211	11	6	228
205	23	0	228
94	132	2	228
224	2	2	228
20	196	12	228
74	154	0	228
62	166	0	228
214	14	0	228
204	18	6	228
221	7	0	228
202	24	2	228
193	35	0	228
46	178	4	228
205	23	0	228
220	4	4	228
202	22	4	228
208	20	0	228
223	5	0	228
219	3	6	228
121	107	0	228
217	3	8	228
36	182	10	228
216	10	2	228
218	2	8	228
55	173	0	228
100	128	0	228
6	222	0	228
4	218	6	228
144	84	0	228
207	21	0	228
183	45	0	228
224	4	0	228
167	61	0	228
218	2	8	228
145	83	0	228
147	75	6	228
150	78	0	228
134	94	0	228
224	2	2	228
166	60	2	228
222	6	0	228
15	201	12	228
91	129	8	228
141	87	0	228
39	189	0	228
176	52	0	228
224	4	0	228
226	2	0	228
207	17	4	228
181	43	4	228
97	131	0	228
115	113	0	228
218	10	0	228
68	160	0	228
48	180	0	228
162	66	0	228
207	21	0	228
206	12	10	228
222	6	0	228
212	16	0	228
222	4	2	228
136	84	8	228
157	67	4	228
209	19	0	228
207	21	0	228
86	138	4	228
127	101	0	228
188	40	0	228
222	6	0	228
217	11	0	228
107	119	2	228
209	11	8	228
201	27	0	228
107	115	6	228
223	5	0	228
219	9	0	228
15	211	2	228
224	2	2	228
206	22	0	228
10	218	0	228
204	24	0	228
107	113	8	228
218	10	0	228
195	33	0	228
225	3	0	228
215	5	8	228
186	42	0	228
204	24	0	228
197	31	0	228
219	9	0	228
173	55	0	228
216	2	10	228
77	147	4	228
63	165	0	228
208	20	0	228
215	9	4	228
214	14	0	228
204	20	4	228
185	43	0	228
97	127	4	228
140	88	0	228
212	4	12	228
218	10	0	228
128	100	0	228
208	20	0	228
131	95	2	228
156	68	4	228
157	71	0	228
216	12	0	228
212	16	0	228
220	8	0	228
139	89	0	228
222	6	0	228
211	17	0	228
200	20	8	228
220	8	0	228
220	6	2	228
219	3	6	228
220	2	6	228
218	2	8	228
220	2	6	228
129	89	10	228
215	13	0	228
109	119	0	228
27	201	0	228
8	218	2	228
161	67	0	228
161	67	0	228
133	95	0	228
130	96	2	228
133	95	0	228
133	93	2	228
57	169	2	228
224	4	0	228
222	2	4	228
211	17	0	228
57	171	0	228
37	181	10	228
120	108	0	228
154	72	2	228
215	13	0	228
103	113	12	228
217	11	0	228
210	18	0	228
141	87	0	228
72	144	12	228
18	210	0	228
205	23	0	228
34	194	0	228
34	194	0	228
72	156	0	228
90	138	0	228
220	4	4	228
185	41	2	228
166	52	10	228
220	8	0	228
226	2	0	228
216	4	8	228
192	36	0	228
171	53	4	228
225	3	0	228
143	85	0	228
165	51	12	228
226	2	0	228
188	40	0	228
216	12	0	228
216	12	0	228
38	186	4	228
216	6	6	228
31	197	0	228
39	189	0	228
212	4	12	228
224	4	0	228
118	110	0	228
202	26	0	228
211	15	2	228
157	59	12	228
218	2	8	228
41	187	0	228
39	185	4	228
200	28	0	228
216	2	10	228
5	223	0	228
222	6	0	228
224	4	0	228
203	17	8	228
218	10	0	228
204	14	10	228
40	188	0	228
224	2	2	228
226	2	0	228
204	22	2	228
3	221	4	228
213	3	12	228
2	224	2	228
226	2	0	228
226	2	0	228
220	2	6	228
43	185	0	228
38	188	2	228
172	54	2	228
39	189	0	228
225	3	0	228
197	31	0	228
218	10	0	228
197	31	0	228
224	4	0	228
212	16	0	228
177	51	0	228
212	16	0	228
213	15	0	228
194	34	0	228
219	7	2	228
75	153	0	228
167	59	2	228
213	5	10	228
215	13	0	228
226	2	0	228
115	113	0	228
174	54	0	228
225	3	0	228
125	101	2	228
223	3	2	228
81	147	0	228
226	2	0	228
66	156	6	228
101	127	0	228
31	193	4	228
95	133	0	228
120	108	0	228
2	224	2	228
2	226	0	228
226	2	0	228
224	2	2	228
173	47	8	228
225	3	0	228
216	2	10	228
224	2	2	228
226	2	0	228
216	2	10	228
226	2	0	228
225	3	0	228
213	5	10	228
208	20	0	228
220	2	6	228
189	33	6	228
216	12	0	228
213	15	0	228
226	2	0	228
226	2	0	228
2	218	8	228
226	2	0	228
216	12	0	228
205	11	12	228
221	3	4	228
12	216	0	228
212	12	4	228
216	12	0	228
180	38	10	228
186	42	0	228
212	16	0	228
205	23	0	228
2	224	2	228
208	20	0	228
206	22	0	228
102	126	0	228
197	31	0	228
211	17	0	228
191	37	0	228
190	38	0	228
196	26	6	228
93	129	6	228
214	2	12	228
214	2	12	228
196	30	2	228
197	29	2	228
46	182	0	228
226	2	0	228
223	3	2	228
225	3	0	228
212	16	0	228
212	16	0	228
212	16	0	228
212	16	0	228
211	15	2	228
83	145	0	228
213	15	0	228
159	69	0	228
203	25	0	228
196	24	8	228
203	25	0	228
179	47	2	228
156	72	0	228
218	10	0	228
42	186	0	228
14	212	2	228
14	212	2	228
23	205	0	228
224	4	0	228
31	197	0	228
225	3	0	228
220	2	6	228
3	225	0	228
3	225	0	228
210	18	0	228
120	108	0	228
202	18	8	228
26	202	0	228
221	7	0	228
81	147	0	228
214	2	12	228
76	148	4	228
222	6	0	228
215	3	10	228
219	9	0	228
225	3	0	228
217	5	6	228
225	3	0	228
205	17	6	228
223	3	2	228
220	2	6	228
137	91	0	228
221	7	0	228
219	3	6	228
220	8	0	228
21	195	12	228
209	19	0	228
7	221	0	228
96	132	0	228
156	72	0	228
220	8	0	228
224	4	0	228
151	77	0	228
224	4	0	228
225	3	0	228
219	7	2	228
210	18	0	228
15	211	2	228
21	207	0	228
206	22	0	228
225	3	0	228
93	135	0	228
223	5	0	228
226	2	0	228
217	5	6	228
220	2	6	228
208	20	0	228
207	21	0	228
161	67	0	228
196	30	2	228
122	98	8	228
143	83	2	228
202	24	2	228
106	122	0	228
76	146	6	228
169	51	8	228
179	49	0	228
220	2	6	228
178	50	0	228
224	4	0	228
215	7	6	228
222	4	2	228
190	36	2	228
223	3	2	228
226	2	0	228
175	53	0	228
224	4	0	228
178	50	0	228
193	31	4	228
